WS_[m/s],RotSpeed_[rpm],Pitch_[deg],AeroThurst_[kN],AeroTorque_[kNm],AeroPower_[kW],AeroCP_[-],AeroCT_[-],AeroCQ_[-],AeroFlap_[kNm],AeroEdge_[kNm]
3,2.971,0,153.0904377,876.4192298,272.6736476,0.493021978,0.830409734,0.046076309,3331.54643,19230.08362
4,3.9444,0,271.2296396,1564.587051,646.2630109,0.492965131,0.827568668,0.04626878,5899.305148,34321.82188
5,4.9518,0,425.2085559,2433.822419,1262.061739,0.492898463,0.830326429,0.046063526,9253.968698,53409.00851
6,5.9487,0,612.8084188,3500.567559,2180.665984,0.492858526,0.83101545,0.046009155,13338.94158,76826.59452
7,6.942,0,834.2563037,4763.155358,3462.645044,0.492834078,0.831170829,0.045994612,18160.01727,104540.8223
8,7.864,0,1082.123904,6276.622818,5168.900285,0.492850349,0.825436924,0.046403886,23527.71984,137672.733
9,7.8895,5.0349,755.023216,6322.766016,5223.783976,0.349819936,0.455053189,0.036934344,15917.67018,135771.6949
10,7.8724,7.3708,640.6877105,6284.876641,5181.225908,0.252941101,0.31277589,0.029737541,13029.88985,130809.8498
11,7.8682,9.1917,573.3494106,6321.381799,5208.540317,0.191040238,0.231324097,0.024719231,11179.40981,126579.2038
12,7.867,10.81,523.3996196,6351.472631,5232.535689,0.147827536,0.177442557,0.020869894,9716.713688,121400.5731
13,7.867,12.29,485.5763715,6393.576,5267.221721,0.117041106,0.140267713,0.017900511,8522.150977,115679.4189
14,7.867,13.69,453.9941724,6417.169922,5286.659108,0.094055474,0.113078772,0.015491582,7471.370895,108849.6221
15,7.867,15.02,428.4532496,6447.987751,5312.04777,0.076837826,0.092962501,0.013559697,6553.789259,101427.5549
16,7.867,16.29,407.6340655,6487.216567,5344.365658,0.063697603,0.077735139,0.011990208,5746.816132,93558.60425
17,7.867,17.52,389.4017912,6513.562006,5366.06983,0.053320772,0.065778956,0.010664218,5002.735547,84793.80969
18,7.867,18.71,374.0667255,6544.005231,5391.149881,0.045128486,0.05636259,0.009556677,4326.912397,75521.8519
19,7.867,19.86,361.811564,6594.163191,5432.471529,0.038665491,0.048928524,0.008642926,3721.048222,66048.89227
20,7.867,20.98,351.1744628,6641.306013,5471.309215,0.033387827,0.042859768,0.007856006,3155.988019,55950.5027
21,7.867,22.07,342.293787,6694.077935,5514.784324,0.029070836,0.03789198,0.007182249,2634.390319,45443.3078
22,7.867,23.14,333.7601905,6721.229907,5537.152942,0.025386647,0.033664801,0.006570701,2125.778576,33852.21632
23,7.867,24.18,327.0017307,6763.775918,5572.203635,0.022357866,0.030177361,0.006049811,1660.148297,22084.73732
24,7.867,25.19,322.2010518,6834.859554,5630.764489,0.019884767,0.027308091,0.005614556,1240.920571,10443.83703
25,7.867,26.19,316.5399908,6857.955475,5649.791609,0.017652218,0.024724951,0.00519186,808.5219559,-2698.188278
26,7.867,27.16,312.9311413,6918.870936,5699.975613,0.015832148,0.022598987,0.004842803,424.4185878,-15471.35923
27,7.867,28.11,309.9183542,6978.171545,5748.829251,0.014258538,0.020754231,0.00452921,57.64061177,-28713.38141
