WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.08200934673897	876.3024092857928	272.6373020959042	0.49295626114163793	0.8303640154391558	0.04607016765502358	3331.466981005953	19229.216354686687
4.0	3.9444000000000004	0.0	271.2181125227114	1564.42943229928	646.1979055213642	0.49291546907009876	0.8275334971664913	0.046264118499557506	5899.1977814296915	34320.65207406212
5.0	4.951800000000001	0.0	425.1945090579275	2433.6278805362685	1261.9608607738307	0.492859064464001	0.8302989992138827	0.04605984370252351	9253.836286641374	53407.56397556027
6.0	5.9487	0.0	612.7915512457541	3500.334282354041	2180.520665472587	0.49282568192710585	0.830992575958197	0.04600608920158876	13338.782603889245	76824.86253935756
7.0	6.942	0.0	834.2366218125464	4762.883276243177	3462.4472501815585	0.4928059257568425	0.8311512196574973	0.04599198508423645	18159.831769101427	104538.80223687387
8.0	7.863999999999999	0.0	1082.100899394991	6276.307348688507	5168.640490752039	0.49282557831455176	0.8254193767095449	0.04640155396664457	23527.505481393193	137670.39031095814
9.0	7.8895	5.0349	754.9972828650992	6322.360793780519	5223.449186634306	0.34979751643066	0.45503755951237485	0.03693197673651017	15917.413802124642	135768.5013893983
10.0	7.8724	7.3708	640.6660058098491	6284.468357287955	5180.88932026318	0.25292466894641624	0.31276529454299845	0.029735609191240936	13029.653345613176	130806.55610709872
11.0	7.8682	9.1917	573.3274228701571	6320.924201507328	5208.163277465574	0.1910264088059783	0.2313152259419659	0.02471744113412891	11179.172268633454	126575.59765485859
12.0	7.867000000000001	10.81	523.3790638900348	6350.982501935136	5232.131905769671	0.14781612800231467	0.17743558785218452	0.020868283136179354	9716.481507869694	121396.71949773071
13.0	7.867000000000001	12.29	485.5580133341499	6393.066857080078	5266.802273263284	0.11703178609495417	0.1402624100665269	0.0178990853113654	8521.926665596882	115675.36060299222
14.0	7.867000000000001	13.69	453.9777640874649	6416.648668065935	5286.229684001282	0.09404783397967115	0.11307468482349395	0.015490323440450333	7471.151714311993	108845.36766593785
15.0	7.867000000000001	15.02	428.43722461058644	6447.4248921251365	5311.584070317132	0.07683111896763013	0.09295902391389209	0.013558513251856377	6553.57090290402	101423.01883623301
16.0	7.867000000000001	16.29	407.62123613947233	6486.666728474426	5343.9126846601175	0.06369220455534379	0.07773269268511221	0.011989192033745719	5746.609274067467	93553.98751247274
17.0	7.867000000000001	17.52	389.3895678016274	6512.984630020891	5365.594169742498	0.0533160458774829	0.06577689140736102	0.01066327248017557	5002.529553934882	84788.9610995646
18.0	7.867000000000001	18.71	374.05515538251507	6543.39383155046	5390.646191772688	0.04512426996187258	0.056360846883568946	0.009555784486483823	4326.706723728245	75516.74238184013
19.0	7.867000000000001	19.86	361.80019886361634	6593.504971380748	5431.929267810238	0.03866163166779776	0.048926987334899454	0.008642063089926218	3720.8432120326274	66043.50629987722
20.0	7.867000000000001	20.98	351.16377752422125	6640.614860010705	5470.7398221304475	0.03338435191504031	0.04285846342485406	0.007855188260986008	3155.7847451654634	55944.8874579012
21.0	7.867000000000001	22.07	342.28435410048115	6693.371497406202	5514.202339256577	0.029067768292385422	0.03789093604883973	0.007181491271321215	2634.190323691735	45437.52330771717
22.0	7.867000000000001	23.14	333.7522961992528	6720.516793999503	5536.565457459801	0.025383953999528898	0.03366400451311755	0.006570003568742164	2125.5832804377324	33846.30662757947
23.0	7.867000000000001	24.18	326.9945776732104	6763.03578603284	5571.593891997451	0.022355419367467856	0.030176700653158105	0.006049149387904837	1659.9540495158922	22078.61107584831
24.0	7.867000000000001	25.19	322.1949970415053	6834.106992243298	5630.144506092509	0.019882577885373346	0.027307578124248336	0.0056139376723846005	1240.7286259054601	10437.544462152106
25.0	7.867000000000001	26.19	316.53473317074986	6857.179284121571	5649.152159544359	0.01765021997059743	0.02472454056383887	0.005191271986861422	808.3308523973291	-2704.688007891519
26.0	7.867000000000001	27.16	312.9266301510802	6918.069321571508	5699.315218187372	0.015830313273972385	0.02259866077464046	0.004842242218991281	424.2285505087903	-15478.05956597909
27.0	7.867000000000001	28.11	309.914779000338	6977.3476670216505	5748.150516104887	0.014256854418241992	0.020753991496053333	0.00452867475942568	57.45197088761131	-28720.276650685457
