WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.0816962302908	876.3522826922755	272.65281882944925	0.492984316990543	0.8303623169990038	0.046072789667897025	3331.48978319227	19229.31521956689
4.0	3.9444000000000004	0.0	271.21752648434034	1564.4972137706452	646.2259031056112	0.49293682544134976	0.8275317090617877	0.04626612296838082	5899.2289570852	34320.79100400669
5.0	4.951800000000001	0.0	425.19333262834846	2433.710974229146	1262.0039491149148	0.49287589262415726	0.8302967019398555	0.04606141636798202	9253.874297860855	53407.72818523557
6.0	5.9487	0.0	612.7899457641972	3500.433917779114	2180.582733002674	0.49283970998624105	0.8309903988014593	0.04600739874401637	13338.828223136217	76825.05878720059
7.0	6.942	0.0	834.2345847540398	4762.999488958643	3462.5317327048047	0.4928179500521084	0.8311491901329978	0.045993107272870176	18159.884995684384	104539.03089230078
8.0	7.863999999999999	0.0	1082.0987238331288	6276.443131089963	5168.752309753103	0.49283624016343913	0.8254177172054105	0.046402557823543036	23527.567916844786	137670.67057619075
9.0	7.8895	5.0349	754.9949843306837	6322.543385261249	5223.600041252164	0.34980761867704613	0.45503617418356024	0.036933043341934715	15917.488749325574	135769.12076034176
10.0	7.8724	7.3708	640.6604665745464	6284.662672352843	5181.049512786591	0.25293248934914	0.31276259035619086	0.029736528612980533	13029.72450122602	130807.37097641524
11.0	7.8682	9.1917	573.3202079870373	6321.143905657468	5208.344304013304	0.19103304854622247	0.23131231501837768	0.02471830026868343	11179.244825749127	126576.61621869923
12.0	7.867000000000001	10.81	523.3694370588433	6351.219053158769	5232.326783838403	0.14782163362068804	0.1774323241709075	0.020869060404564127	9716.552191076998	121397.8894246026
13.0	7.867000000000001	12.29	485.5457593895357	6393.316146205935	5267.007645201998	0.11703634959355434	0.14025887028805098	0.017899783262353662	8521.993973752016	115676.65162575842
14.0	7.867000000000001	13.69	453.96311108638986	6416.910130032541	5286.4450842952065	0.09405166618755714	0.11307103512165975	0.015490954631378746	7471.217364244001	108846.78616633288
15.0	7.867000000000001	15.02	428.4205304879562	6447.705029616385	5311.814856074377	0.07683445724256587	0.09295540175116752	0.013559102362695353	6553.635345867662	101424.56911174314
16.0	7.867000000000001	16.29	407.6015724804091	6486.948183364486	5344.144555730439	0.0636949681445925	0.0777289428579896	0.011989712241869094	5746.668587195998	93555.59691169638
17.0	7.867000000000001	17.52	389.3678644030533	6513.2807705094765	5365.838139254057	0.05331847011779245	0.06577322520207658	0.010663757331115898	5002.587881050637	84790.68577731373
18.0	7.867000000000001	18.71	374.03141373188004	6543.70615569663	5390.90349387195	0.04512642379816155	0.05635726960487902	0.00955624059569986	4326.764486642095	75518.59040583966
19.0	7.867000000000001	19.86	361.7744423684589	6593.8358364441065	5432.201844479119	0.038663571725971194	0.04892350423092019	0.008642496752563041	3720.899217686142	66045.46132818067
20.0	7.867000000000001	20.98	351.13589151332377	6640.959720605043	5471.023928742004	0.033386085632126104	0.04285506002263946	0.007855596196839756	3155.838859502405	55946.93198944391
21.0	7.867000000000001	22.07	342.25418762332794	6693.72460640631	5514.493241154845	0.029069301763312752	0.03788759661470277	0.007181870131093617	2634.242230003458	45439.63345613934
22.0	7.867000000000001	23.14	333.7197508661576	6720.8750384755285	5536.860590118805	0.02538530711887653	0.033660721820376036	0.006570353789946592	2125.63238972986	33848.46276775135
23.0	7.867000000000001	24.18	326.9599371971704	6763.406287978455	5571.89912273147	0.022356644072856494	0.030173503856185568	0.006049480780742083	1660.0017769242193	22080.850146017325
24.0	7.867000000000001	25.19	322.15818074925437	6834.486393243914	5630.457068137798	0.019883681682834095	0.027304457766123228	0.005614249334694352	1240.7747540509513	10439.857344485243
25.0	7.867000000000001	26.19	316.49586213317946	6857.570664115875	5649.474590247773	0.01765122737359877	0.024721504345552363	0.005191568283620843	808.3760212932939	-2702.292532164352
26.0	7.867000000000001	27.16	312.88569243171213	6918.4724603292425	5699.647336116551	0.01583123575863265	0.022595704370347094	0.004842524392444894	424.2726049044958	-15475.58770573501
27.0	7.867000000000001	28.11	309.871725710068	6977.761224351699	5748.4912171697615	0.0142576994423012	0.020751108356297874	0.004528943180426259	57.494667653042406	-28717.738779475647
