WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	281.2287066246058	3423.1315865982447	1065.0128889295845	1.9256527546245463	1.5254712104061012	0.17996555119404575	5731.889369199443	71135.57420139309
4.0	3.9444000000000004	0.0	377.0206278006502	3366.128284870278	1390.401511560974	1.0605890353573628	1.1503553200255088	0.0995448913455107	7947.13894100648	72510.22639346232
5.0	4.951800000000001	0.0	500.5343567255509	3630.8387957052355	1882.7761173370204	0.7353185860430537	0.9774189614588132	0.0687187506260777	10780.192307812595	79965.43305684348
6.0	5.9487	0.0	650.3562233572358	4071.1181560168934	2536.0884289044047	0.5731885641778012	0.8819331667341072	0.05350809663526207	14093.33229668121	89689.97194096107
7.0	6.942	0.0	852.1972727139403	5015.687231499855	3646.2267612351948	0.5189630410963406	0.8490454435649804	0.0484331441605874	18507.979022041858	110021.35041305308
8.0	7.863999999999999	0.0	1083.5318037138495	6288.216494476001	5178.44786469149	0.4937607032748009	0.8265108610172129	0.046489599825499855	23557.58374305784	137925.05909291544
9.0	7.8895	5.0349	736.9660227024254	6061.734187146062	5008.12300060278	0.3353778174147217	0.4441701023630995	0.03540953028223502	15579.093441466679	130497.47258042058
10.0	7.8724	7.3708	609.8400925186521	5820.953858545272	4798.769914166046	0.23427006771663952	0.2977164613558983	0.02754244260888355	12452.621850396014	121655.4040650854
11.0	7.8682	9.1917	532.1598407174318	5671.212394261202	4672.829350406593	0.17139128752617036	0.21470571419129791	0.022176797893078012	10413.479254409212	114006.01174654759
12.0	7.867000000000001	10.81	473.8187265969153	5524.182677683389	4550.9891473328125	0.12857275130955115	0.16063367851252316	0.01815155500408774	8794.179915652245	105590.29162929318
13.0	7.867000000000001	12.29	428.7857060544954	5392.629973561556	4442.612041850882	0.09871774090023241	0.12386267939499991	0.015098097064714525	7467.211956759912	96773.30305383624
14.0	7.867000000000001	13.69	391.34996516500274	5252.700919569593	4327.334245429235	0.07698803060343444	0.09747564190873526	0.012680456791256534	6305.9891312224845	87014.5584940228
15.0	7.867000000000001	15.02	360.3740766854205	5114.890043008419	4213.8014677845	0.06095188885111549	0.07819120395758213	0.010756279536442854	5289.214436528884	76624.28817969233
16.0	7.867000000000001	16.29	335.1666811669742	4993.820161971488	4114.060429731246	0.04903403066364919	0.0639157293967062	0.009229989979452569	4398.283094962222	65898.31747698422
17.0	7.867000000000001	17.52	313.2680109888944	4866.0094428610255	4008.766084934444	0.03983371640399698	0.05291820234566224	0.007966790577266876	3582.9833771002127	54379.481553306374
18.0	7.867000000000001	18.71	294.5248436907317	4740.355499723201	3905.248557563387	0.032690234882908197	0.04437759881075641	0.006922679073091938	2842.2017520502127	42323.53171085955
19.0	7.867000000000001	19.86	279.0771993985384	4630.43767557441	3814.6949220327515	0.02715100339664455	0.037740185448539916	0.006069083848420224	2176.285922658955	30013.55631395642
20.0	7.867000000000001	20.98	265.75860761715745	4521.062370448614	3724.5882301189263	0.02272872924972787	0.03243502403551422	0.005347968043350173	1559.8348245162915	17126.502338677834
21.0	7.867000000000001	22.07	254.4217290799073	4416.12929143538	3638.1411787361662	0.019178230738037514	0.028164528557948605	0.0047381792526769205	990.0185005306131	3756.354055153647
22.0	7.867000000000001	23.14	243.7429106115589	4290.299835184418	3534.4790583420845	0.016204821295550464	0.02458518648803321	0.0041942139410027085	438.7853197542203	-10620.111655051389
23.0	7.867000000000001	24.18	235.19510756213083	4185.78600871297	3448.3773999122723	0.013836242268673327	0.021704984854772447	0.0037439466052802788	-62.565540510148004	-25054.5446037956
24.0	7.867000000000001	25.19	228.83040476331115	4110.640223765108	3386.47002433849	0.011959152015109196	0.019394479159068116	0.0033767217920361247	-512.6388068737283	-39342.585962018005
25.0	7.867000000000001	26.19	221.7551087787112	3988.240762668414	3285.6336379277427	0.010265638951544259	0.017321300342986803	0.0030193234988097053	-972.8676686832124	-55129.27052759257
26.0	7.867000000000001	27.16	216.81507377003098	3902.597463226093	3215.078091696743	0.008930141857995314	0.015657760736412875	0.002731589020254128	-1383.315446045114	-70579.4362096068
27.0	7.867000000000001	28.11	212.7587837234743	3823.546865627294	3149.9538130924784	0.007812675192068033	0.014247768377973417	0.002481688029348097	-1769.4761286570006	-86285.74494697675
