WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.2577202734479	877.8812683091718	273.1285204926157	0.4938444344854371	0.8313171256790931	0.04615317358897964	3335.6720140193015	19264.370186689302
4.0	3.9444000000000004	0.0	271.5388267138769	1567.2586631735867	647.3665380128447	0.4938068941703455	0.8285120517834286	0.046347785982237856	5906.648032149558	34383.30522688518
5.0	4.951800000000001	0.0	425.7088817494599	2438.0748616894866	1264.2668485580944	0.49375966845049923	0.8313034409973585	0.04614400909958502	9265.56036461225	53505.63943373167
6.0	5.9487	0.0	613.5431618161575	3506.7620404947297	2184.524814313196	0.49373067100341117	0.8320118178239623	0.04609057142258049	13355.705352216915	76966.26728810683
7.0	6.942	0.0	835.2697344995522	4771.655115915602	3468.824066574334	0.4937135303147628	0.8321805114044633	0.04607668888568962	18182.88860324921	104731.4124603845
8.0	7.863999999999999	0.0	1083.442486663261	6287.775658377912	5178.084829043332	0.4937260881272448	0.8264427305644357	0.04648634066707127	23557.27855396397	137921.80855107703
9.0	7.8895	5.0349	755.8206261899984	6330.890845966651	5230.496600663166	0.3502694589798211	0.45553378929452865	0.036981804909747194	15935.831184922728	135950.2026449149
10.0	7.8724	7.3708	641.3406176062176	6292.53898192111	5187.542709315776	0.2532494792481762	0.31309463175658553	0.02977379618278532	13044.406061557014	130970.30102460133
11.0	7.8682	9.1917	573.9008976287765	6328.710742247452	5214.579044250363	0.19126172801993957	0.23154660061212906	0.024747889745162184	11191.631500867163	126728.4659944912
12.0	7.867000000000001	10.81	523.8895389697401	6358.746464614165	5238.528093577743	0.14799683057877724	0.17760864874074625	0.020893794239602383	9727.245079741888	121541.05357150448
13.0	7.867000000000001	12.29	486.0096611911127	6400.733219398529	5273.1180549357005	0.11717212688835378	0.14039287690093044	0.01792054932484022	8531.293342773462	115811.41233679785
14.0	7.867000000000001	13.69	454.39133703585753	6424.435485605005	5292.644700335867	0.09416196416834567	0.11317769566343018	0.015509121465477362	7479.350930854948	108973.44079490521
15.0	7.867000000000001	15.02	428.8070476610933	6455.1374631423805	5317.937920116361	0.07692302627501045	0.09303926528373857	0.013574732284740484	6560.723868624543	101542.37894820537
16.0	7.867000000000001	16.29	407.9654525576107	6494.597562758107	5350.446346354568	0.06377007695740097	0.07779833418431802	0.012003850455273295	5752.884381519825	93665.38192776499
17.0	7.867000000000001	17.52	389.70271307959405	6520.950264424972	5372.156500831048	0.05338125348251449	0.06582978887726457	0.010676314078605984	5007.978050691739	84891.22403680967
18.0	7.867000000000001	18.71	374.34750867336766	6551.49733220735	5397.322101259516	0.045180152973149486	0.056404897283154544	0.009567618606186348	4331.441379064387	75610.10726480291
19.0	7.867000000000001	19.86	362.05895780983417	6601.444170744898	5438.469820911554	0.038708183904110044	0.04896197984105107	0.008652468945701907	3724.871722328066	66126.53112949083
20.0	7.867000000000001	20.98	351.39867462555947	6648.554154460478	5477.280453566182	0.03342426511667235	0.042887131896577675	0.007864579658300423	3159.185488841173	56017.70712231354
21.0	7.867000000000001	22.07	342.5015413644618	6701.416824466512	5520.830323571094	0.029102707291799413	0.03791497871579638	0.0071901233106575835	2637.028850938562	45500.20970119687
22.0	7.867000000000001	23.14	333.9522299862057	6728.646684583248	5543.263107768344	0.025414661276204894	0.03368417088195742	0.006577951381653871	2127.8740172386997	33897.81751800548
23.0	7.867000000000001	24.18	327.1786618724312	6771.257443926031	5578.367142997305	0.022382596306332755	0.030193688866890545	0.006056503191490331	1661.7428731138398	22118.8753190103
24.0	7.867000000000001	25.19	322.36686117409425	6842.530119219519	5637.083733430202	0.019907083424770548	0.027322144437414347	0.005620856924586059	1242.0701343527282	10467.035274454462
25.0	7.867000000000001	26.19	316.69362178000296	6865.718187066605	5656.186766634737	0.017672198908152182	0.02473695135941021	0.005197736418637288	809.2152184299445	-2687.543486676905
26.0	7.867000000000001	27.16	313.0729856359755	6926.718820729642	5706.440937790664	0.01585010554186847	0.02260923014661772	0.004848296360407014	424.7003350873341	-15472.990019259394
27.0	7.867000000000001	28.11	310.05046752665146	6986.118473438561	5755.376172305209	0.014274775857187552	0.020763078118286402	0.004534367485592646	57.533423713775186	-28727.672252473192
