WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.8992888120219	883.5606054161473	274.8954894409277	0.49703929593549223	0.8347971912344325	0.04645175545970736	3337.04726309329	19277.121925862477
4.0	3.9444000000000004	0.0	272.6787310219835	1577.3668100343607	651.541774808623	0.4969917370583914	0.8319900975147718	0.046646709343383316	5909.077250012915	34405.92096957925
5.0	4.951800000000001	0.0	427.5050827419707	2453.942006382753	1272.4947768027052	0.4969730874583036	0.8348109742667157	0.04644431721588426	9269.371165407478	53541.07546461967
6.0	5.9487	0.0	616.1385886141458	3529.6558753703152	2198.786446497811	0.49695398308573585	0.8355314166111626	0.04639147291497861	13361.194779737058	77017.30497604162
7.0	6.942	0.0	838.8087377702325	4802.849264000137	3491.5011060885686	0.4969411258978148	0.8357064257648362	0.04637790995498927	18190.357195962315	104800.87450292942
8.0	7.863999999999999	0.0	1088.0134511092328	6328.273643214453	5211.435573771241	0.49690605393975595	0.829929431874882	0.04678574751962539	23566.93278022709	138012.2116956034
9.0	7.8895	5.0349	760.7032905970975	6381.001894625	5271.897672967255	0.3530419550359889	0.4584765756411138	0.037274527856706006	15945.884366390399	136059.34771092347
10.0	7.8724	7.3708	646.5776158349021	6352.175310158091	5236.706647853932	0.2556496024915412	0.3156512701276899	0.03005597161103757	13055.138681500954	131100.39209435295
11.0	7.8682	9.1917	579.4489522676715	6397.718927736625	5271.438751162137	0.1933472435920247	0.23378502400012915	0.025017740436014468	11202.913650941791	126879.02001387856
12.0	7.867000000000001	10.81	529.8350820202056	6438.864136532449	5304.531460353185	0.1498615316772155	0.17962430240182095	0.021157047722239575	9739.233720125636	121715.36863723176
13.0	7.867000000000001	12.29	492.2380865011661	6490.78303976718	5347.303826682998	0.1188205831849748	0.14219207271464723	0.018172667666957448	8543.637946822384	116005.35626712914
14.0	7.867000000000001	13.69	460.9487292656599	6525.685893674302	5376.057855760268	0.09564597584812887	0.11481098063530398	0.015753548369708	7492.177117321519	109189.75866405337
15.0	7.867000000000001	15.02	435.6717625712437	6567.757003111292	5410.7173110381445	0.07826506366485265	0.09452871848910543	0.01381156381835811	6573.943301462175	101780.32272020412
16.0	7.867000000000001	16.29	415.2152285948719	6620.909885907999	5454.506267137386	0.06501033033570512	0.07918085443296251	0.012237311300706422	5766.715136211944	93930.54926643099
17.0	7.867000000000001	17.52	397.40955931265677	6663.601692009004	5489.677071142584	0.05454901457663736	0.06713165320462026	0.010909867683968887	5022.663633783603	85190.84394796805
18.0	7.867000000000001	18.71	382.4638546250804	6710.737331815396	5528.508840062549	0.04627829698159889	0.057627829582993485	0.009800168129729498	4346.828650611241	75943.39411976398
19.0	7.867000000000001	19.86	370.54540239103267	6777.447335239154	5583.466563098489	0.03974019488272903	0.0501096192504455	0.008883155122202583	3740.8404088188795	66492.50499115173
20.0	7.867000000000001	20.98	360.2496760796027	6842.394033947627	5636.971622257993	0.03439875601674505	0.043967369513241525	0.008093872996034505	3175.725315378533	56418.04485893804
21.0	7.867000000000001	22.07	351.71799810470804	6914.464074274086	5696.345106175996	0.03002792234898492	0.03893524204001205	0.007418707211232202	2654.156789433401	45937.55379166538
22.0	7.867000000000001	23.14	343.5492554001849	6962.738741859704	5736.115240708436	0.026298846554763555	0.034652177126492205	0.006806800694714694	2145.6670536492416	34376.712684733844
23.0	7.867000000000001	24.18	337.1604339449688	7028.054771730641	5789.9245660753095	0.023231447641316554	0.031114856887364723	0.006286193739855162	1680.204866842587	22642.17108366228
24.0	7.867000000000001	25.19	332.7312992729837	7123.453617791364	5868.517027335567	0.020724378697807067	0.028200580495386096	0.005851624018733188	1261.205280584707	11037.448085869208
25.0	7.867000000000001	26.19	327.4777461171607	7173.3456172696	5909.619568908181	0.018464024757688508	0.025579299739155653	0.005430627756989914	829.0871911521197	-2064.820793239264
26.0	7.867000000000001	27.16	324.2573338255685	7262.205603435008	5982.825119170777	0.01661778516787959	0.023416931589604686	0.005083117404779037	445.2673262064727	-14796.102820782202
27.0	7.867000000000001	28.11	321.5927719683124	7350.280873547531	6055.384196561495	0.015018870973371914	0.02153602895657743	0.004770728513938727	78.73761449736612	-27995.41890374557
