WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.245493824309	877.5118154176857	273.01357542511516	0.4936366019904845	0.831250805649425	0.04613375020674192	3335.292415490593	19259.760115741152
4.0	3.9444000000000004	0.0	271.5239210154492	1566.7695391312654	647.164502097921	0.4936527825167442	0.8284665719125127	0.04633332135239407	5906.144443604356	34377.14295552272
5.0	4.951800000000001	0.0	425.6908969024401	2437.466332050635	1263.95129473288	0.4936364288414769	0.8312683210695058	0.04613249181698071	9264.929927046736	53497.97665173677
6.0	5.9487	0.0	613.5222056330165	3506.033795491386	2184.0711567047433	0.49362813855609833	0.8319833996243718	0.046080999849730055	13354.948714312612	76957.08277089657
7.0	6.942	0.0	835.2458117028935	4770.807332181347	3468.2077578619082	0.4936258118417772	0.8321566770856376	0.04606850240397276	18182.005975591168	104720.70286444084
8.0	7.863999999999999	0.0	1083.4192064997128	6286.833778081403	5177.309175403778	0.4936521301968819	0.8264249726103519	0.04647937722392221	23556.298001003423	137909.84562001136
9.0	7.8895	5.0349	755.7823948751782	6329.533050733138	5229.374808560588	0.3501943361869283	0.4555107472457855	0.036973873369043855	15934.52041901897	135932.52487324685
10.0	7.8724	7.3708	641.3075342384642	6291.007722311553	5186.280345324636	0.2531878521847877	0.31307848086178847	0.029766550870257445	13043.146221536997	130951.76822271773
11.0	7.8682	9.1917	573.8834423568246	6327.128575637981	5213.275408615513	0.1912139129226682	0.2315395580915477	0.024741702816038012	11190.43263725342	126709.1258320525
12.0	7.867000000000001	10.81	523.8764908774158	6356.984813639054	5237.076792102593	0.14795582898163018	0.17760422518601957	0.020888005744464106	9726.045237925591	121520.14581909288
13.0	7.867000000000001	12.29	486.01213195592953	6398.938949928827	5271.639881355925	0.11713928090606247	0.14039359062703197	0.017915525791843034	8530.135032912465	115789.46931774293
14.0	7.867000000000001	13.69	454.3975502226367	6422.430051482517	5290.992562913982	0.09413257082843171	0.1131792432152981	0.015504280180750266	7478.1902519451	108949.83809765933
15.0	7.867000000000001	15.02	428.82730118618343	6453.100889562622	5316.26012906563	0.07689875732583916	0.09304365973831684	0.013570449503578774	6559.594800626004	101517.68275205306
16.0	7.867000000000001	16.29	407.9911164704069	6492.342449131084	5348.58851538818	0.06374793412743293	0.07780322824986126	0.011999682368416972	5751.763736755977	93639.07719660427
17.0	7.867000000000001	17.52	389.7391634072139	6518.604681818078	5370.224138776608	0.053362052271858744	0.06583594617946233	0.010672473813676324	5006.879279672609	84863.68409950047
18.0	7.867000000000001	18.71	374.38883848314254	6548.981642610373	5395.249599910103	0.045162804383191944	0.05641112466178288	0.009563944765326014	4330.335910898865	75580.89433356242
19.0	7.867000000000001	19.86	362.11868693344843	6599.035765237019	5436.4857034469	0.038694061993676	0.048970057133666665	0.008649312264629313	3723.8194828833384	66096.8603743536
20.0	7.867000000000001	20.98	351.47037494762645	6646.124795573855	5475.279074072948	0.03341205200482824	0.04289588270126636	0.007861705967865094	3158.1598496710753	55987.07354950097
21.0	7.867000000000001	22.07	342.58194272624525	6698.895796336812	5518.753424176594	0.029091759048218268	0.037923879160181535	0.007187418434420666	2636.016199507631	45468.33207390814
22.0	7.867000000000001	23.14	334.041343397286	6726.036460674887	5541.1127261875445	0.025404802242197648	0.03369315932730132	0.006575399616526455	2126.8754127852144	33864.74320792327
23.0	7.867000000000001	24.18	327.2765888977945	6768.56374640132	5576.147993320978	0.022373692207682504	0.030202726064238804	0.006054093832846029	1660.7585296803702	22084.63554653146
24.0	7.867000000000001	25.19	322.47245623694243	6839.698104374856	5634.750633752812	0.01989884419822852	0.027331094127678753	0.00561853054092785	1241.0972066096606	10431.505987682685
25.0	7.867000000000001	26.19	316.80679456408706	6862.776809035724	5653.763570249357	0.017664627869520895	0.0247457912900642	0.005195509629349477	808.2513234503352	-2724.3240083055057
26.0	7.867000000000001	27.16	313.1951237548479	6923.7088115664155	5703.961200998006	0.015843217870497087	0.02261805061010693	0.00484618953077403	423.75179867879444	-15510.822356881663
27.0	7.867000000000001	28.11	310.1806766927761	6983.036535205364	5752.837178164286	0.014268478515158235	0.020771797805470008	0.00453236714154318	56.596038711291804	-28766.61234730569
