WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.9008332951862	883.2674940503522	274.8042959315442	0.49687440869856425	0.8348055689872956	0.046436345608472575	3336.6572007722743	19272.501023991586
4.0	3.9444000000000004	0.0	272.68043097179395	1576.9538205282622	651.3711867665336	0.49686161363325204	0.8319952843564564	0.04663449620352879	5908.552680669738	34399.67769835131
5.0	4.951800000000001	0.0	427.5113396078355	2453.454562870289	1272.2420123437314	0.49687437024871983	0.834823192367738	0.04643509165918455	9268.721078736111	53533.368183091836
6.0	5.9487	0.0	616.1469122341277	3529.0707588938317	2198.421950290945	0.4968716022605719	0.8355427040814224	0.04638378252924999	13360.4128119153	77008.05394435409
7.0	6.942	0.0	838.819471730794	4802.168264009634	3491.0060432437053	0.4968706642023889	0.8357171200261275	0.046371333992575536	18189.44502751632	104790.08430709354
8.0	7.863999999999999	0.0	1088.0159437491948	6327.3914403639965	5210.709065472555	0.49683678197683057	0.8299313332440842	0.04677922527957232	23565.86041248233	137999.39503132846
9.0	7.8895	5.0349	760.7023977260116	6379.874380548444	5270.966136049605	0.352979573018166	0.4584760375068859	0.037267941499963056	15944.544028050454	136041.76728976643
10.0	7.8724	7.3708	646.5920664986412	6350.983221220211	5235.723894740074	0.25560162568859995	0.3156583247646766	0.030050331119469673	13053.859253716562	131081.88484358805
11.0	7.8682	9.1917	579.4886393540685	6396.591735606922	5270.509994469379	0.19331317840508258	0.23380103618965764	0.02501333264623174	11201.68585925294	126859.46480100068
12.0	7.867000000000001	10.81	529.880060969872	6437.58223826119	5303.475393698464	0.14983169609840657	0.17963955113247465	0.02115283561551935	9738.02369605112	121694.5670972621
13.0	7.867000000000001	12.29	492.2911675130717	6489.359099191381	5346.130741271995	0.11879451646103711	0.14220740614639832	0.01816868096786383	8542.436108660992	115982.98387022674
14.0	7.867000000000001	13.69	461.0175838108797	6524.229036982406	5374.85765305502	0.09562462292335779	0.11482813060742883	0.01575003139651354	7491.005510705507	109166.18303565125
15.0	7.867000000000001	15.02	435.7567223002126	6566.326077843431	5409.538471426091	0.07824801195950856	0.09454715239966051	0.013808554676021238	6572.799161143611	101755.59019763023
16.0	7.867000000000001	16.29	415.3182170136402	6619.550280871058	5453.386183293531	0.06499698045266779	0.07920049415336093	0.012234798366627912	5765.61438747771	93904.95390601123
17.0	7.867000000000001	17.52	397.52251455334886	6662.194132331112	5488.51748081184	0.05453749213022841	0.06715073395360603	0.010907563181005948	5021.576413739716	85163.96407689976
18.0	7.867000000000001	18.71	382.5818474365691	6709.1893411676565	5527.233558441887	0.04626762179534459	0.057645608177101834	0.009797907488631363	4345.731952337531	75914.7879055133
19.0	7.867000000000001	19.86	370.6766912642241	6775.922035309254	5582.209974779018	0.03973125114425781	0.05012737371563381	0.008881155921734475	3739.773350895887	66462.90620113435
20.0	7.867000000000001	20.98	360.3933755968728	6840.900244814388	5635.740993488014	0.03439124629314834	0.04398490759916972	0.008092105991756865	3174.6818823822946	56387.42975142563
21.0	7.867000000000001	22.07	351.87266473171496	6912.992299739193	5695.132613699477	0.030021530771709482	0.0389523636618525	0.007417128106295358	2653.1302047171057	45905.84578977074
22.0	7.867000000000001	23.14	343.7137651388509	6961.285293228842	5734.917845667181	0.026293356757726014	0.03466877044029999	0.0068053797976342385	2144.657666775281	34343.964379029676
23.0	7.867000000000001	24.18	337.33465502377015	7026.612502267137	5788.736380771001	0.023226680175977375	0.031130934882846698	0.0062849037121636975	1679.2091049382366	22608.306334463716
24.0	7.867000000000001	25.19	332.91652122494077	7122.035929396617	5867.349092660839	0.020720254194055845	0.028216278948092807	0.005850459446054415	1260.222802357013	11002.506449785466
25.0	7.867000000000001	26.19	327.67346994794866	7171.939525853634	5908.4611881761175	0.01846040551109129	0.02559458773534221	0.00542956326637705	828.1154103815076	-2100.897600420862
26.0	7.867000000000001	27.16	324.4378830559453	7260.720542287402	5981.601680779939	0.016614386967875396	0.023429970335487185	0.00508207794919505	444.3095963855392	-14833.167337428265
27.0	7.867000000000001	28.11	321.7718757107023	7348.853720426848	6054.208464558633	0.015015954863233061	0.021548022955567934	0.004769802214630751	77.79620966534837	-28033.327841645198
