WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.09043771660464	876.419229813645	272.67364757801806	0.4930219775085273	0.8304097335158594	0.04607630930343932	3331.5464301287934	19230.08362327123
4.0	3.9444000000000004	0.0	271.229639572218	1564.5870507722739	646.2630108722462	0.4929651309991994	0.8275686681936085	0.04626877967478328	5899.305148020048	34321.82188245305
5.0	4.951800000000001	0.0	425.20855588887537	2433.8224192919583	1262.0617390952648	0.4928984625124447	0.8303264291769459	0.04606352562314614	9253.968697666573	53409.008511744396
6.0	5.9487	0.0	612.8084187996329	3500.567558639644	2180.665984096607	0.4928585258029349	0.8310154496613663	0.04600915523149858	13338.941584384069	76826.59452085054
7.0	6.942	0.0	834.256303714263	4763.1553581054695	3462.6450440474337	0.49283407751833913	0.8311708287662192	0.045994612397195114	18160.017269886102	104540.82232160708
8.0	7.863999999999999	0.0	1082.1239037557757	6276.622817651511	5168.900284539241	0.4928503494364065	0.8254369242831131	0.046403886269589335	23527.71983580046	137672.733032815
9.0	7.8895	5.0349	755.0232160358662	6322.766015701812	5223.78397551843	0.34981993616061446	0.45505318945834156	0.03693434383434885	15917.670182372614	135771.69492402265
10.0	7.8724	7.3708	640.6877104745653	6284.87664122013	5181.225907822156	0.2529411007386556	0.31277589049438553	0.029737541028710075	13029.88985162893	130809.84980022768
11.0	7.8682	9.1917	573.3494106334374	6321.3817986660715	5208.540317379685	0.19104023797701847	0.2313240971457986	0.024719230529235352	11179.40981092347	126579.20379679833
12.0	7.867000000000001	10.81	523.3996196072659	6351.472631027757	5232.535688973714	0.14782753552621675	0.17744255663642192	0.020869893619702966	9716.71368782144	121400.57305947442
13.0	7.867000000000001	12.29	485.5763715448689	6393.576000490651	5267.221721038845	0.1170411064984553	0.1402677131751344	0.017900510793304708	8522.150977023713	115679.41893109451
14.0	7.867000000000001	13.69	453.9941723717932	6417.16992161897	5286.659108479305	0.0940554739129374	0.11307877172317425	0.015491581789870517	7471.370895486919	108849.62208498035
15.0	7.867000000000001	15.02	428.4532495553155	6447.987750682329	5312.047770258774	0.07683782630482182	0.09296250088352664	0.013559696906623094	6553.789258783242	101427.55494640848
16.0	7.867000000000001	16.29	407.6340654821275	6487.2165669230535	5344.365658241639	0.06369760338719507	0.07773513921944739	0.011990208290480354	5746.816131544735	93558.60424515809
17.0	7.867000000000001	17.52	389.40179121853816	6513.56200624565	5366.069829778763	0.05332077234607395	0.06577895622479131	0.010664217779505743	5002.735547244226	84793.80968611842
18.0	7.867000000000001	18.71	374.06672546480786	6544.005230789177	5391.14988099921	0.04512848626689909	0.05636259020838924	0.009556677356378374	4326.912397200767	75521.8518973653
19.0	7.867000000000001	19.86	361.8115639707274	6594.163190594867	5432.471528751775	0.03866549119758099	0.04892852426178183	0.008642925813470084	3721.048221600012	66048.89226881655
20.0	7.867000000000001	20.98	351.17446278619457	6641.306012592025	5471.309214578211	0.03338782654524974	0.042859767528348726	0.007856005825888926	3155.988018678783	55950.502701759
21.0	7.867000000000001	22.07	342.29378700456346	6694.077934669708	5514.7843236888575	0.029070836186449962	0.03789198027292141	0.007182249226119267	2634.3903191175955	45443.30780450289
22.0	7.867000000000001	23.14	333.76019054685867	6721.229907225484	5537.152941752342	0.025386647487824463	0.03366480077836114	0.0065707007110279774	2125.778576056614	33852.21631808403
23.0	7.867000000000001	24.18	327.00173068190423	6763.775918214495	5572.203635324714	0.022357865896782757	0.030177360768697818	0.0060498113938848835	1660.148296525605	22084.737324607406
24.0	7.867000000000001	25.19	322.2010518452792	6834.859553545743	5630.76448890625	0.01988476732412904	0.027308091298036265	0.005614555870526855	1240.9205706123118	10443.837034831035
25.0	7.867000000000001	26.19	316.53999081651097	6857.955475272761	5649.7916093438	0.017652217868565398	0.024724951238757824	0.005191859607399352	808.5219558503488	-2698.188278089918
26.0	7.867000000000001	27.16	312.9311413105673	6918.870936135713	5699.975612565128	0.015832147573266953	0.022598986557597633	0.004842803302106485	424.41858775416426	-15471.359228813255
27.0	7.867000000000001	28.11	309.9183541553416	6978.171544545223	5748.829251383439	0.014258537851900824	0.020754230912633537	0.004529209500350731	57.64061177395588	-28713.38141384788
