WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.08944226834018	876.4199107901048	272.6738594450435	0.4930223605858828	0.8304043338975662	0.04607634510466426	3331.53842933634	19229.813685941048
4.0	3.9444000000000004	0.0	271.2279950681652	1564.5882154733042	646.2634919596962	0.49296549796951	0.8275636505265462	0.046268814117926174	5899.29462827513	34321.46302802217
5.0	4.951800000000001	0.0	425.206228536625	2433.8235847641936	1262.0623434523884	0.4928986985442391	0.8303218844375311	0.04606354768135374	9253.955344727487	53408.55835168128
6.0	5.9487	0.0	612.8054237476102	3500.568942778592	2180.666846340992	0.4928587206812425	0.8310113881399722	0.0460091734237096	13338.925521382216	76826.05410833548
7.0	6.942	0.0	834.2526409282091	4763.156972221928	3462.6462174528633	0.49283424452771346	0.8311671795268829	0.04599462798364051	18159.998517200744	104540.19175679654
8.0	7.863999999999999	0.0	1082.1196100196023	6276.625283182868	5168.902314944143	0.4928505430338277	0.8254336490496872	0.046403904497582325	23527.69899755077	137672.01631979118
9.0	7.8895	5.0349	755.0183810400777	6322.7789547383745	5223.794665575866	0.34982065203922413	0.4550502754019154	0.03693441941753888	15917.643960114294	135770.95425659086
10.0	7.8724	7.3708	640.6820831853453	6284.898924122294	5181.244277753118	0.25294199753617813	0.3127731433207343	0.029737646462556305	13029.868548076045	130809.26491544691
11.0	7.8682	9.1917	573.3429018971744	6321.410806980358	5208.564218953631	0.19104111464535478	0.23132147112489115	0.0247193439638025	11179.390526690828	126578.70039323524
12.0	7.867000000000001	10.81	523.3921966196257	6351.506949467744	5232.563961544888	0.14782833427175202	0.17744004010057546	0.020870006384447984	9716.695594107628	121400.12359835608
13.0	7.867000000000001	12.29	485.5680019973215	6393.615083960915	5267.253919186408	0.11704182196232173	0.14026529547657332	0.017900620217839783	8522.13319067107	115679.00398411464
14.0	7.867000000000001	13.69	453.9849591165718	6417.214991955984	5286.696238789178	0.09405613450194457	0.1130764769281143	0.01549169059341175	7471.353968688285	108849.24838450442
15.0	7.867000000000001	15.02	428.4430646401514	6448.036403544179	5312.087851961207	0.07683840607951939	0.09296029103872813	0.013559799220412425	6553.772353172909	101427.20145754665
16.0	7.867000000000001	16.29	407.6229317594679	6487.269525240269	5344.409286908714	0.06369812338184165	0.07773301603702899	0.011990306172406689	5746.799004743491	93558.26610020312
17.0	7.867000000000001	17.52	389.38972154508474	6513.618792326914	5366.116611873895	0.05332123720350658	0.06577691737818185	0.010664310751544217	5002.718520147297	84793.49070614864
18.0	7.867000000000001	18.71	374.0537641216504	6544.065988807817	5391.199935296756	0.04512890526372337	0.056360637255017006	0.009556766085644394	4326.895716972958	75521.55137596141
19.0	7.867000000000001	19.86	361.7975664886427	6594.225242908233	5432.52264932855	0.03866585504711078	0.04892663135340083	0.008643007145024289	3721.030886922636	66048.58851494084
20.0	7.867000000000001	20.98	351.15947903378645	6641.369829824295	5471.36178914868	0.03338814737351417	0.042857938807262866	0.007856081315340482	3155.9702320694473	55950.194929362195
21.0	7.867000000000001	22.07	342.277861808124	6694.14399902642	5514.83874950856	0.02907112308871051	0.037890217350974725	0.007182320108275032	2634.372264730242	45442.99294048321
22.0	7.867000000000001	23.14	333.7433069531159	6721.297663465237	5537.2087613965805	0.02538690340880878	0.03366309781067395	0.0065707669497936305	2125.760066606084	33851.88780859766
23.0	7.867000000000001	24.18	326.98392507122867	6763.846343231471	5572.261653588531	0.022358098688806678	0.030175717577587042	0.006049874385041786	1660.1296834855793	22084.40647636502
24.0	7.867000000000001	25.19	322.1823293685522	6834.933049159758	5630.825036820987	0.0198849811461063	0.027306504477940988	0.005614616244149443	1240.9018874470873	10443.506514116734
25.0	7.867000000000001	26.19	316.52036752445593	6858.031769908693	5649.85446317764	0.017652414249183575	0.024723418462637016	0.005191917366747599	808.5033221134411	-2698.522508850752
26.0	7.867000000000001	27.16	312.9105981862121	6918.949355169118	5700.040216542005	0.01583232701608658	0.0225975029922701	0.004842858190824229	424.3999672473852	-15471.700009949478
27.0	7.867000000000001	28.11	309.89690500447756	6978.2521209275965	5748.895632649793	0.014258702494084051	0.020752794532296764	0.004529261798766472	57.62182842795696	-28713.737831533264
