WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
3.0	2.971	0.0	153.0448441548799	875.8714403591284	272.50321801236424	0.49271382333876823	0.8301624199801051	0.046047510167727936	3331.0468874244107	19224.206525115536
4.0	3.9444000000000004	0.0	271.16893193386625	1563.851383297705	645.9591385649298	0.49273333922206974	0.8273834386608068	0.046247024134701366	5898.638502835484	34313.9481894703
5.0	4.951800000000001	0.0	425.1335121068682	2432.909699358823	1261.5884470025514	0.4927136181917659	0.830179887357213	0.04604625110973322	9253.136168732584	53399.21512271578
6.0	5.9487	0.0	612.7185988353573	3499.4728444403804	2179.9840358191777	0.4927043967317525	0.830893646866706	0.04599476702881878	13337.94203522521	76814.85019338453
7.0	6.942	0.0	834.1517164499129	4761.877989353599	3461.716442260268	0.4927019107500628	0.8310666283151092	0.04598227769966513	18158.851002263542	104527.12194907918
8.0	7.863999999999999	0.0	1082.003360431349	6275.146582391053	5167.684580954765	0.4927344331092504	0.8253449746361158	0.04639297227091146	23526.384658038914	137656.9354811939
9.0	7.8895	5.0349	754.8781463788044	6320.76350603646	5222.129529050745	0.3497091432257574	0.4549657558420798	0.036922646203861174	15915.970654010162	135749.64991402166
10.0	7.8724	7.3708	640.5582756041275	6282.840351602072	5179.547199213031	0.2528591482411259	0.31271270197648465	0.029727906114690256	13028.304197339397	130787.49961965856
11.0	7.8682	9.1917	573.2203880553133	6319.150419756493	5206.701759389667	0.19097280285421148	0.23127204157402603	0.024710504910150678	11177.843608176865	126555.45312200153
12.0	7.867000000000001	10.81	523.2763003449396	6349.100039505922	5230.581076156411	0.14777231457544543	0.1774007490302068	0.020862097674488336	9715.175832222943	121375.44292817268
13.0	7.867000000000001	12.29	485.45867763119156	6391.066795704572	5265.154562073229	0.11699517287624274	0.140233715112021	0.017893485609377535	8520.63747177115	115652.84332911306
14.0	7.867000000000001	13.69	453.88272982229006	6414.565105385729	5284.513181905196	0.09401729552148666	0.1130510141276314	0.015485293546888376	7469.878254030726	108821.71163557367
15.0	7.867000000000001	15.02	428.34266640345487	6445.191633475667	5309.744244143753	0.07680450620922599	0.09293850739914249	0.013553816854845125	6552.299270837865	101397.96243433087
16.0	7.867000000000001	16.29	407.5333722905794	6484.399961683214	5342.0452534638225	0.06366994730363215	0.07771593719506754	0.01198500240855097	5745.363717267393	93527.96128269147
17.0	7.867000000000001	17.52	389.303027974109	6510.602387001872	5363.631605729242	0.05329654456045108	0.06576227283175504	0.010659372193614368	5001.287869646697	84761.66900563518
18.0	7.867000000000001	18.71	373.9712266285499	6540.909714967028	5388.5997012289245	0.04510713910436756	0.056348200899191264	0.00955215675394599	4325.472565694675	75488.23281536222
19.0	7.867000000000001	19.86	361.71555423864436	6590.840962827436	5429.734576808526	0.0386460110050554	0.04891554066763123	0.008638571391642867	3719.607490238691	66013.52821928194
20.0	7.867000000000001	20.98	351.08070965939123	6637.829131129869	5468.444854233149	0.03337034722492377	0.042848325246390165	0.007851893020219254	3154.554740977608	55913.65495876206
21.0	7.867000000000001	22.07	342.20380715884016	6690.496181338422	5511.833566718969	0.0290552814580213	0.03788201948873967	0.007178406270398877	2632.9676386212004	45405.123424369645
22.0	7.867000000000001	23.14	333.67473547772596	6717.566618580409	5534.135013519332	0.025372810940233866	0.03365618133254545	0.006567119465684917	2124.370324010074	33812.822119150595
23.0	7.867000000000001	24.18	326.9187391866174	6759.980357871419	5569.076737657269	0.02234531955725588	0.030169701897019122	0.006046416481858321	1658.7460753416053	22043.94668922381
24.0	7.867000000000001	25.19	322.1214558147541	6830.972931283474	5627.562571669367	0.01987345991118858	0.02730134515100759	0.005611363170271906	1239.5273806837824	10401.795995400802
25.0	7.867000000000001	26.19	316.46277164157493	6853.941515070742	5646.484787252088	0.01764188602837523	0.024718919645940543	0.005188820812832414	807.132825611459	-2741.615699169812
26.0	7.867000000000001	27.16	312.85624462354116	6914.728368632754	5696.562839880361	0.01582266831853819	0.022593577734377854	0.004839903748152132	423.0351658711776	-15516.117621232013
27.0	7.867000000000001	28.11	309.8458791446449	6973.894204062045	5745.3054486321225	0.014249797937613025	0.020749377495314983	0.004526433275801223	56.26123278428841	-28759.53665261137
