#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.4410035e-02  3.1924144e-05  1.2931016e-01 -3.6586118e-01 -1.1323316e-01  3.1898921e-01 -1.4403434e-01  6.5682856e+01  4.5680899e+01  1.0000000e-04  3.5000000e-01  7.9623012e+00 -3.5952463e+00  3.0093451e+00  2.7423563e+00  1.2392094e+00  1.0000000e+00  7.4732918e-01  6.7710265e-04  2.5764014e-01  3.9559436e-05 -1.0000000e+00
 4.6695996e+00  4.3101786e-02  2.6221962e-05  1.6909190e-01 -5.1049537e+00 -2.4592772e+00  3.1340440e-01 -1.5581301e-01  6.3548774e+01  4.3968127e+01  1.0000000e-04  3.5000000e-01  1.6206422e+01 -8.0572299e+00  4.3302748e+00  3.8769551e+00  1.9288595e+00  1.0000000e+00  1.0759397e+00  9.7483363e-04  1.7240714e-01  5.0577154e-05  4.9365977e-02
 6.3391991e+00  3.6036074e-02  2.9264953e-03  1.4133793e-01 -9.4751560e+00 -6.1966475e+00  3.0223415e-01 -1.8104698e-01  5.5982370e+01  3.6908771e+01  1.9020689e-02  3.5179782e-01  1.8389834e+01 -1.1016041e+01  4.6941111e+00  3.8907866e+00  2.6261109e+00  1.0000000e+00  1.1678908e+00  2.0126630e-01  1.4414430e-01  7.6628760e-03  3.4935044e-02
 8.0087987e+00  3.7571152e-02  1.0654465e-02  1.4642910e-01 -1.2016082e+01 -9.9281033e+00  3.3056093e-01 -1.5185922e-01  4.9215557e+01  3.0761427e+01  1.0094376e-01  3.4948836e-01  2.4070187e+01 -1.1057809e+01  5.1182733e+00  3.8754155e+00  3.3433331e+00  1.0000000e+00  1.2818163e+00  1.1723245e+00  1.5028461e-01  3.5245899e-02  2.5704899e-02
 9.6783983e+00  4.7856181e-02  2.0505072e-02  1.8394747e-01 -7.7363645e+00 -7.7246078e+00  4.1439107e-01 -6.6809068e-02  4.3177317e+01  2.5444306e+01  2.5647570e-01  3.3227041e-01  3.6541131e+01 -5.8912441e+00  5.5944576e+00  3.8280550e+00  4.0796999e+00  1.0000000e+00  1.4201524e+00  3.3000745e+00  1.9142472e-01  8.1973667e-02  1.9486519e-02
 1.1347998e+01  6.8865468e-02  3.0959370e-02  2.5831954e-01  9.4204447e+00  1.1028760e+01  5.6285805e-01  5.7235231e-02  3.7734788e+01  2.0771184e+01  4.8016584e-01  2.9920865e-01  6.0167392e+01  6.1182292e+00  6.1104766e+00  3.7396565e+00  4.8324832e+00  1.0000000e+00  1.5761899e+00  6.8571302e+00  2.7546187e-01  1.4511788e-01  1.5126953e-02
 1.3017597e+01  1.0358578e-01  4.1117005e-02  3.7351184e-01  6.2517457e+01  8.3959176e+01  7.7605689e-01  1.9854336e-01  3.2726765e+01  1.6527491e+01  7.6020348e-01  2.5253600e-01  9.9797556e+01  2.5531816e+01  6.6544252e+00  3.5976043e+00  5.5980905e+00  1.0000000e+00  1.7411538e+00  1.1992496e+01  4.1434310e-01  2.2108632e-01  1.1970344e-02
 1.5279636e+01  1.5551773e-01  4.6536069e-02  5.2759125e-01  1.9117042e+02  3.0134897e+02  1.0158754e+00  3.0842619e-01  2.7147253e+01  1.2023494e+01  1.0446917e+00  1.8907355e-01  1.6546086e+02  5.0234963e+01  7.4227751e+00  3.3868559e+00  6.6050585e+00  1.0000000e+00  1.9770146e+00  1.8712878e+01  6.2207091e-01  2.9370562e-01  8.9361586e-03
 1.7541674e+01  2.0405019e-01  4.5472381e-02  6.5182380e-01  2.9828634e+02  5.3980938e+02  1.1521452e+00  3.3518303e-01  2.2840568e+01  8.8922824e+00  1.1919112e+00  1.3832531e-01  2.3468533e+02  6.8274847e+01  8.2197025e+00  3.1906273e+00  7.5751837e+00  1.0000000e+00  2.2327698e+00  2.4111845e+01  8.1620075e-01  3.2947942e-01  6.8277258e-03
 1.9803712e+01  2.3256315e-01  4.0072735e-02  7.1570684e-01  3.8676393e+02  7.9018465e+02  1.1556101e+00  3.1148895e-01  1.9871816e+01  7.1463652e+00  1.1926802e+00  9.9870016e-02  2.9091523e+02  7.8414749e+01  9.0465227e+00  3.0750666e+00  8.5078516e+00  9.9999999e-01  2.5072334e+00  2.7093266e+01  9.3025262e-01  3.2779713e-01  5.3176911e-03
 2.2065750e+01  2.5623455e-01  3.4932721e-02  7.6375148e-01  4.6684885e+02  1.0627498e+03  1.1274016e+00  2.7687210e-01  1.7528315e+01  6.0204675e+00  1.1584419e+00  7.5531079e-02  3.4590389e+02  8.4948555e+01  9.8921036e+00  2.9792748e+00  9.4327957e+00  9.9999999e-01  2.7945345e+00  2.9330962e+01  1.0249382e+00  3.1839092e-01  4.2097616e-03
 2.4327788e+01  2.8329175e-01  3.0955076e-02  8.1330303e-01  5.6233201e+02  1.4113394e+03  1.1020011e+00  2.5184359e-01  1.5485557e+01  5.1374857e+00  1.1292371e+00  5.1528179e-02  4.0610628e+02  9.2808675e+01  1.0750066e+01  2.8702189e+00  1.0359815e+01  9.9999999e-01  3.0886440e+00  3.1600618e+01  1.1331670e+00  3.1105993e-01  3.3804308e-03
 2.6589826e+01  3.1301441e-01  2.7480107e-02  8.5487145e-01  6.6128081e+02  1.8140007e+03  1.0699415e+00  2.2899596e-01  1.3698679e+01  4.3999612e+00  1.0937364e+00  3.0896905e-02  4.6655301e+02  9.9854769e+01  1.1615323e+01  2.7506913e+00  1.1284920e+01  9.9999999e-01  3.3824472e+00  3.3518630e+01  1.2520576e+00  3.0181686e-01  2.7489499e-03
 2.8851864e+01  3.3574608e-01  2.4505802e-02  8.9218924e-01  7.6130679e+02  2.2660506e+03  1.0376874e+00  2.0808234e-01  1.2287344e+01  3.8749631e+00  1.0581997e+00  1.7519292e-02  5.2834251e+02  1.0594591e+02  1.2495745e+01  2.6592766e+00  1.2209500e+01  9.9999999e-01  3.6712012e+00  3.5198032e+01  1.3429843e+00  2.9204675e-01  2.2608828e-03
 3.1113903e+01  3.5058802e-01  2.1701647e-02  9.1517667e-01  8.4406280e+02  2.7093510e+03  9.9725410e-01  1.8585762e-01  1.1198221e+01  3.4566381e+00  1.0143618e+00  1.1351512e-02  5.8444563e+02  1.0892277e+02  1.3385553e+01  2.5995265e+00  1.3130708e+01  9.9999999e-01  3.9447846e+00  3.6254237e+01  1.4023521e+00  2.7890528e-01  1.8786069e-03
 3.3375941e+01  3.5816240e-01  1.9145535e-02  9.2649495e-01  9.0930849e+02  3.1309836e+03  9.5581527e-01  1.6473612e-01  1.0361534e+01  3.1308473e+00  9.6985749e-01  9.8620911e-03  6.3468942e+02  1.0938962e+02  1.4283017e+01  2.5689260e+00  1.4050096e+01  9.9999998e-01  4.1887909e+00  3.6807742e+01  1.4326496e+00  2.6394327e-01  1.5755750e-03
 3.5637979e+01  3.5915070e-01  1.6856573e-02  9.2792274e-01  9.6976371e+02  3.5654555e+03  9.1602055e-01  1.4745072e-01  9.7226604e+00  2.9334837e+00  9.2776488e-01  9.3639777e-03  6.7874958e+02  1.0925750e+02  1.5186771e+01  2.5647299e+00  1.4968640e+01  9.9999997e-01  4.3960259e+00  3.6952239e+01  1.4366028e+00  2.4813722e-01  1.3327193e-03
 3.7900017e+01  3.5562675e-01  1.4849226e-02  9.2265718e-01  1.0290964e+03  4.0237548e+03  8.7964703e-01  1.3361618e-01  9.2191361e+00  2.8171427e+00  8.8969123e-01  9.0387825e-03  7.1773555e+02  1.0902223e+02  1.6095220e+01  2.5786291e+00  1.5887315e+01  9.9999994e-01  4.5675198e+00  3.6818181e+01  1.4225070e+00  2.3246245e-01  1.1361297e-03
 4.0162055e+01  3.4997814e-01  1.3123534e-02  9.1412243e-01  1.0873123e+03  4.5051188e+03  8.4826992e-01  1.2236743e-01  8.7973888e+00  2.7433114e+00  8.5700530e-01  8.8072563e-03  7.5353770e+02  1.0870181e+02  1.7006992e+01  2.6010630e+00  1.6806911e+01  9.9999987e-01  4.7061389e+00  3.6541874e+01  1.3999126e+00  2.1770896e-01  9.7551653e-04
 4.2424093e+01  3.4381932e-01  1.1656396e-02  9.0465542e-01  1.1444202e+03  5.0088050e+03  8.2221704e-01  1.1305177e-01  8.4245123e+00  2.6941427e+00  8.2990790e-01  8.6280157e-03  7.8773556e+02  1.0831070e+02  1.7921187e+01  2.6255659e+00  1.7727813e+01  9.9999973e-01  4.8166881e+00  3.6217711e+01  1.3752773e+00  2.0426145e-01  8.4317173e-04
 4.4686131e+01  3.3838225e-01  1.0420194e-02  8.9615057e-01  1.2007092e+03  5.5353697e+03  8.0136108e-01  1.0518488e-01  8.0785673e+00  2.6627567e+00  8.0819034e-01  8.4749280e-03  8.2193681e+02  1.0788560e+02  1.8837171e+01  2.6472043e+00  1.8650236e+01  9.9999946e-01  4.9058677e+00  3.5922956e+01  1.3535290e+00  1.9233491e-01  7.3325424e-04
 4.6948169e+01  3.3478957e-01  9.3899854e-03  8.9045043e-01  1.2567670e+03  6.0870861e+03  7.8549639e-01  9.8393312e-02  7.7429062e+00  2.6475651e+00  7.9159106e-01  8.3323355e-03  8.5805099e+02  1.0748169e+02  1.9754454e+01  2.6614830e+00  1.9574344e+01  9.9999897e-01  4.9822465e+00  3.5732933e+01  1.3391583e+00  1.8209296e-01  6.4129026e-04
 4.9210208e+01  3.3428925e-01  8.5462840e-03  8.8964240e-01  1.3134472e+03  6.6681268e+03  7.7456584e-01  9.2375926e-02  7.4024197e+00  2.6484372e+00  7.8001188e-01  8.1870701e-03  8.9857712e+02  1.0716570e+02  2.0672609e+01  2.6634068e+00  2.0500318e+01  9.9999818e-01  5.0561861e+00  3.5732783e+01  1.3371570e+00  1.7371691e-01  5.6381913e-04
 5.1472246e+01  3.3590363e-01  7.8399863e-03  8.9219960e-01  1.3711583e+03  7.2810958e+03  7.6853622e-01  8.7208214e-02  7.0682178e+00  2.6620497e+00  7.7342667e-01  8.0236943e-03  9.4258349e+02  1.0695790e+02  2.1591726e+01  2.6568836e+00  2.1427636e+01  9.9999694e-01  5.1178725e+00  3.5863377e+01  1.3436145e+00  1.6668556e-01  4.9813902e-04
 5.3734284e+01  3.3771146e-01  7.2216316e-03  8.9504988e-01  1.4293873e+03  7.9238713e+03  7.6653726e-01  8.2936695e-02  6.7591954e+00  2.6906620e+00  7.7097088e-01  7.8587116e-03  9.8715055e+02  1.0680630e+02  2.2512055e+01  2.6495963e+00  2.2355587e+01  9.9999486e-01  5.1541412e+00  3.6002849e+01  1.3508458e+00  1.6028628e-01  4.4212224e-04
 5.5996322e+01  3.3928583e-01  6.6723096e-03  8.9751771e-01  1.4877077e+03  8.5943519e+03  7.6770906e-01  7.9390026e-02  6.4766214e+00  2.7391737e+00  7.7176453e-01  7.7125320e-03  1.0315427e+03  1.0667349e+02  2.3433532e+01  2.6432507e+00  2.3283979e+01  9.9999133e-01  5.1662346e+00  3.6124473e+01  1.3571433e+00  1.5432819e-01  3.9407957e-04
 5.8258360e+01  3.4071009e-01  6.1828134e-03  8.9973769e-01  1.5461609e+03  9.2928507e+03  7.7192894e-01  7.6456300e-02  6.2167502e+00  2.8074701e+00  7.7566895e-01  7.5854874e-03  1.0758677e+03  1.0656015e+02  2.4356013e+01  2.6375123e+00  2.4212783e+01  9.9998535e-01  5.1558073e+00  3.6233948e+01  1.3628404e+00  1.4878322e-01  3.5265962e-04
 6.0520398e+01  3.4210414e-01  5.7458177e-03  9.0189792e-01  1.6048494e+03  1.0020101e+04  7.7912900e-01  7.4045117e-02  5.9760413e+00  2.8956416e+00  7.8260386e-01  7.4744158e-03  1.1203245e+03  1.0647090e+02  2.5279366e+01  2.6319002e+00  2.5141986e+01  9.9997524e-01  5.1249500e+00  3.6339103e+01  1.3684166e+00  1.4363596e-01  3.1677348e-04
 6.2782436e+01  3.4361901e-01  5.3553941e-03  9.0423041e-01  1.6638687e+03  1.0776885e+04  7.8927158e-01  7.2078173e-02  5.7511737e+00  3.0039977e+00  7.9252159e-01  7.3763112e-03  1.1652040e+03  1.0640922e+02  2.6203476e+01  2.6258095e+00  2.6071580e+01  9.9995819e-01  5.0761907e+00  3.6449503e+01  1.3744760e+00  1.3887983e-01  2.8553778e-04
 6.5044474e+01  3.4548833e-01  5.0071472e-03  9.0708835e-01  1.7237070e+03  1.1566711e+04  8.0239989e-01  7.0501380e-02  5.5385749e+00  3.1325970e+00  8.0545835e-01  7.2721005e-03  1.2110015e+03  1.0640240e+02  2.7128227e+01  2.6183050e+00  2.7001577e+01  9.9992969e-01  5.0124927e+00  3.6579639e+01  1.3819533e+00  1.3452727e-01  2.5823128e-04
 6.7306513e+01  3.4789819e-01  4.6967596e-03  9.1074017e-01  1.7841601e+03  1.2388734e+04  8.1843871e-01  6.9234893e-02  5.3355287e+00  3.2822359e+00  8.2133062e-01  7.1700741e-03  1.2581611e+03  1.0643271e+02  2.8053525e+01  2.6086416e+00  2.7931976e+01  9.9988241e-01  4.9372372e+00  3.6740460e+01  1.3915927e+00  1.3057649e-01  2.3426152e-04
 6.9568551e+01  3.4985845e-01  4.4118110e-03  9.1365161e-01  1.8450334e+03  1.3241989e+04  8.3633110e-01  6.8263672e-02  5.1489715e+00  3.4459134e+00  8.3908264e-01  7.0688232e-03  1.3046027e+03  1.0648530e+02  2.8979466e+01  2.6007794e+00  2.8862526e+01  9.9980171e-01  4.8498798e+00  3.6870437e+01  1.3994338e+00  1.2677670e-01  2.1313906e-04
 7.1830589e+01  3.5066788e-01  4.1445651e-03  9.1474829e-01  1.9058399e+03  1.4123160e+04  8.5581493e-01  6.7601997e-02  4.9827605e+00  3.6221216e+00  8.5845234e-01  6.9861384e-03  1.3486390e+03  1.0653085e+02  2.9906087e+01  2.5975230e+00  2.9793069e+01  9.9966043e-01  4.7476380e+00  3.6926349e+01  1.4026715e+00  1.2296966e-01  1.9445734e-04
 7.4092627e+01  3.5051262e-01  3.8945052e-03  9.1428348e-01  1.9669846e+03  1.5035296e+04  8.7765022e-01  6.7282987e-02  4.8336859e+00  3.8164286e+00  8.8019836e-01  6.9103577e-03  1.3904026e+03  1.0659194e+02  3.0833297e+01  2.5981276e+00  3.0723638e+01  9.9941216e-01  4.6293547e+00  3.6918461e+01  1.4020505e+00  1.1918919e-01  1.7787690e-04
 7.6354665e+01  3.4954925e-01  3.6606907e-03  9.1241980e-01  2.0291344e+03  1.5983888e+04  9.0268227e-01  6.7358682e-02  4.6991246e+00  4.0349896e+00  9.0516627e-01  6.8184289e-03  1.4299306e+03  1.0670226e+02  3.1761013e+01  2.6019664e+00  3.1654252e+01  9.9897526e-01  4.4937308e+00  3.6853436e+01  1.3981970e+00  1.1545378e-01  1.6311294e-04
