#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.3607896e-02  3.7277068e-05  1.5112029e-01 -3.9285907e-01 -1.2158894e-01  3.2328186e-01 -1.3412252e-01  6.7451144e+01  4.7449187e+01  1.0000000e-04  3.5000000e-01  9.3052645e+00 -3.8605493e+00  3.2315761e+00  2.9845315e+00  1.2392160e+00  1.0000000e+00  8.0251717e-01  7.2710463e-04  2.5443158e-01  4.6192617e-05 -7.6103356e-01
 4.6695996e+00  4.3109760e-02  2.6176262e-05  1.6879582e-01 -5.1009773e+00 -2.4573616e+00  3.1334390e-01 -1.5593463e-01  6.3526538e+01  4.3945890e+01  1.0000000e-04  3.5000000e-01  1.6178044e+01 -8.0509539e+00  4.3268996e+00  3.8731849e+00  1.9288594e+00  1.0000000e+00  1.0751011e+00  9.7407381e-04  1.7243904e-01  5.0489007e-05  4.5627709e-02
 6.3391991e+00  3.6018575e-02  2.9314283e-03  1.4168211e-01 -9.4845608e+00 -6.2027982e+00  3.0235841e-01 -1.8086077e-01  5.6021232e+01  3.6947633e+01  1.9005930e-02  3.5180961e-01  1.8434616e+01 -1.1026976e+01  4.6988572e+00  3.8965026e+00  2.6261238e+00  1.0000000e+00  1.1690716e+00  2.0131347e-01  1.4407430e-01  7.6757928e-03  4.0581033e-02
 8.0087987e+00  3.7527942e-02  1.0675887e-02  1.4681393e-01 -1.2028013e+01 -9.9379611e+00  3.3069802e-01 -1.5167442e-01  4.9269080e+01  3.0814949e+01  1.0084673e-01  3.4956580e-01  2.4133446e+01 -1.1068789e+01  5.1239322e+00  3.8828252e+00  3.3434039e+00  1.0000000e+00  1.2832335e+00  1.1724925e+00  1.5011177e-01  3.5316765e-02  3.2941742e-02
 9.6783983e+00  4.7767612e-02  2.0534462e-02  1.8423757e-01 -7.7420680e+00 -7.7303027e+00  4.1434760e-01 -6.6746043e-02  4.3226832e+01  2.5493820e+01  2.5619995e-01  3.3241624e-01  3.6598761e+01 -5.8955873e+00  5.5991611e+00  3.8348005e+00  4.0798174e+00  1.0000000e+00  1.4213464e+00  3.2992980e+00  1.9107045e-01  8.2091158e-02  2.5877798e-02
 1.1347998e+01  6.8718685e-02  3.0997050e-02  2.5851329e-01  9.4460738e+00  1.1058764e+01  5.6261173e-01  5.7322833e-02  3.7776013e+01  2.0812409e+01  4.7980941e-01  2.9933392e-01  6.0212521e+01  6.1348744e+00  6.1141058e+00  3.7453557e+00  4.8326598e+00  1.0000000e+00  1.5771261e+00  6.8561095e+00  2.7487474e-01  1.4529450e-01  2.0239712e-02
 1.3017597e+01  1.0337471e-01  4.1153388e-02  3.7362279e-01  6.2592508e+01  8.4059968e+01  7.7566562e-01  1.9862249e-01  3.2759349e+01  1.6560075e+01  7.5977353e-01  2.5269001e-01  9.9827198e+01  2.5562467e+01  6.6570917e+00  3.6022302e+00  5.5982862e+00  1.0000000e+00  1.7418515e+00  1.1990516e+01  4.1349885e-01  2.2128196e-01  1.5751428e-02
 1.5279636e+01  1.5540491e-01  4.6604134e-02  5.2803842e-01  1.9159156e+02  3.0201284e+02  1.0162707e+00  3.0896406e-01  2.7165573e+01  1.2041814e+01  1.0452284e+00  1.8910953e-01  1.6560110e+02  5.0345630e+01  7.4244757e+00  3.3897441e+00  6.6054882e+00  1.0000000e+00  1.9774675e+00  1.8726782e+01  6.2161963e-01  2.9413521e-01  1.1372517e-02
 1.7541674e+01  2.0402656e-01  4.5532446e-02  6.5239951e-01  2.9881777e+02  5.4077111e+02  1.1528716e+00  3.3569539e-01  2.2849931e+01  8.9016445e+00  1.1927569e+00  1.3832998e-01  2.3489260e+02  6.8396486e+01  8.2207407e+00  3.1922681e+00  7.5756189e+00  1.0000000e+00  2.2330518e+00  2.4132000e+01  8.1610625e-01  3.2991463e-01  8.3740944e-03
 1.9803712e+01  2.3254840e-01  4.0109242e-02  7.1614521e-01  3.8721704e+02  7.9111038e+02  1.1561533e+00  3.1180947e-01  1.9877538e+01  7.1520877e+00  1.1932900e+00  9.9872398e-02  2.9109342e+02  7.8506616e+01  9.0471669e+00  3.0761354e+00  8.5081502e+00  9.9999999e-01  2.5074120e+00  2.7109049e+01  9.3019360e-01  3.2809577e-01  6.3274178e-03
