#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.2795087e-02  4.5279376e-05  1.8476466e-01 -4.3385632e-01 -1.3504199e-01  3.2774292e-01 -1.2281933e-01  6.9440501e+01  4.9438544e+01  1.0000000e-04  3.5000000e-01  3.4841829e+01 -1.3056728e+01  6.2104706e+00  5.8149133e+00  2.1809924e+00  1.0000000e+00  1.5422843e+00  1.3973559e-03  4.3956561e-01  9.8749502e-05 -7.4551532e-01
 4.6695996e+00  4.3105054e-02  2.6352398e-05  1.7089995e-01 -5.1615997e+00 -2.5007231e+00  3.1337959e-01 -1.5586289e-01  6.3539654e+01  4.3959007e+01  1.0000000e-04  3.5000000e-01  5.0162867e+01 -2.4949070e+01  7.6186891e+00  6.8205778e+00  3.3947228e+00  1.0000000e+00  1.8930092e+00  1.7151231e-03  3.0173538e-01  8.9456728e-05  1.2231966e-01
 6.3391991e+00  3.6118131e-02  2.9203016e-03  1.4134932e-01 -9.5396298e+00 -6.2743329e+00  3.0165335e-01 -1.8191397e-01  5.5801193e+01  3.6727594e+01  1.9089496e-02  3.5174284e-01  5.6323405e+01 -3.3966188e+01  8.2229303e+00  6.8011221e+00  4.6218308e+00  1.0000000e+00  2.0458580e+00  3.5384456e-01  2.5282692e-01  1.3457839e-02  5.3956260e-02
 8.0087987e+00  3.7758788e-02  1.0624419e-02  1.4646189e-01 -1.2103234e+01 -1.0057046e+01  3.2997028e-01 -1.5265314e-01  4.8985205e+01  3.0531074e+01  1.0136136e-01  3.4915504e-01  7.3731456e+01 -3.4110158e+01  8.9659951e+00  6.7652033e+00  5.8839692e+00  1.0000000e+00  2.2454367e+00  2.0621289e+00  2.6431152e-01  6.1856563e-02  2.9523175e-02
 9.6783983e+00  4.8288584e-02  2.0484638e-02  1.8468969e-01 -7.7991768e+00 -7.8316613e+00  4.1460383e-01 -6.7115268e-02  4.2938148e+01  2.5205137e+01  2.5780762e-01  3.3156602e-01  1.1235876e+02 -1.8188419e+01  9.8075155e+00  6.6809625e+00  7.1799792e+00  1.0000000e+00  2.4896366e+00  5.8153290e+00  3.3802009e-01  1.4412689e-01  1.8994872e-02
 1.1347998e+01  6.9256233e-02  3.0634279e-02  2.5866691e-01  8.8988069e+00  1.0477379e+01  5.6082854e-01  5.3798656e-02  3.7520450e+01  2.0556846e+01  4.7757909e-01  2.9889991e-01  1.8451042e+02  1.7699550e+01  1.0719865e+01  6.5288756e+00  8.5023113e+00  1.0000000e+00  2.7651761e+00  1.1964944e+01  4.8479363e-01  2.5272031e-01  1.3679661e-02
 1.3017597e+01  1.0529743e-01  4.1182614e-02  3.7768444e-01  6.2979668e+01  8.5061462e+01  7.7998445e-01  1.9880262e-01  3.2484043e+01  1.6284769e+01  7.6471877e-01  2.5120395e-01  3.0904429e+02  7.8769280e+01  1.1680589e+01  6.2732323e+00  9.8530567e+00  1.0000000e+00  3.0562674e+00  2.1175598e+01  7.3708200e-01  3.8972474e-01  1.0357916e-02
 1.5279636e+01  1.5726780e-01  4.6289042e-02  5.3095189e-01  1.8999625e+02  3.0120326e+02  1.0150041e+00  3.0433044e-01  2.6941028e+01  1.1817269e+01  1.0427331e+00  1.8856869e-01  5.0995159e+02  1.5289966e+02  1.3036753e+01  5.9066034e+00  1.1621918e+01  1.0000000e+00  3.4722663e+00  3.2804147e+01  1.1008746e+00  5.1416726e-01  7.5079027e-03
 1.7541674e+01  2.0439128e-01  4.4882032e-02  6.5116949e-01  2.9408421e+02  5.3523483e+02  1.1415571e+00  3.2775322e-01  2.2704297e+01  8.7560114e+00  1.1796015e+00  1.3825745e-01  7.1800234e+02  2.0614612e+02  1.4443779e+01  5.5749411e+00  1.3324518e+01  1.0000000e+00  3.9234551e+00  4.1932098e+01  1.4307389e+00  5.7234351e-01  5.6795443e-03
 1.9803712e+01  2.3286494e-01  3.9563962e-02  7.1506168e-01  3.8193541e+02  7.8476235e+02  1.1443542e+00  3.0487891e-01  1.9753351e+01  7.0279008e+00  1.1800566e+00  9.9820710e-02  8.9012478e+02  2.3714710e+02  1.5901912e+01  5.3743972e+00  1.4966184e+01  1.0000000e+00  4.4071966e+00  4.7120276e+01  1.6300546e+00  5.6958639e-01  4.4491453e-03
