#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0865652e-02  7.0308037e-05  2.2863907e-01 -3.7723651e-01 -9.3297658e-02  3.3848419e-01 -8.9041917e-02  7.5245271e+01  4.7872514e+01  1.0000000e-04  3.5000000e-01  8.7990624e+01 -2.3146883e+01  9.7115757e+00  9.3913357e+00  2.4733613e+00  1.0000000e+00  2.4117353e+00  2.1851045e-03  6.0865652e-01  1.7388495e-04  0.0000000e+00
 4.6695996e+00  4.1610549e-02  3.0878382e-05  1.5951071e-01 -3.8913664e+00 -1.4980197e+00  3.2481490e-01 -1.3036599e-01  6.8115339e+01  4.1163892e+01  1.0000000e-04  3.5000000e-01  9.5550770e+01 -3.8349750e+01  1.0328174e+01  9.5838855e+00  3.8497171e+00  1.0000000e+00  2.5662326e+00  2.3250838e-03  4.1610549e-01  1.1886936e-04  0.0000000e+00
 6.3391991e+00  3.3780966e-02  3.5219374e-03  1.3055306e-01 -6.9062230e+00 -3.6091984e+00  3.1810480e-01 -1.5022088e-01  6.1507883e+01  3.5063484e+01  1.9721484e-02  3.5123787e-01  1.0616617e+02 -5.0135605e+01  1.0993708e+01  9.6621805e+00  5.2444148e+00  1.0000000e+00  2.7352251e+00  4.8873704e-01  3.3780966e-01  1.8405677e-02  0.0000000e+00
 8.0087987e+00  3.3335352e-02  1.2462280e-02  1.2888942e-01 -7.5274199e+00 -4.9699188e+00  3.4489213e-01 -1.1265559e-01  5.5335248e+01  2.9510317e+01  1.0350699e-01  3.4774727e-01  1.3241871e+02 -4.3253257e+01  1.1752832e+01  9.6666353e+00  6.6847012e+00  1.0000000e+00  2.9433701e+00  2.7603054e+00  3.3335352e-01  8.2281205e-02  0.0000000e+00
 9.6783983e+00  3.9740721e-02  2.3940430e-02  1.5263561e-01 -8.8317067e-01 -7.0466695e-01  4.2314752e-01 -9.3766764e-03  4.9608949e+01  2.4505138e+01  2.6705835e-01  3.2836197e-01  1.8950648e+02 -4.1993416e+00  1.2607771e+01  9.6025770e+00  8.1698479e+00  1.0000000e+00  3.2004812e+00  7.7439764e+00  3.9740721e-01  1.9101664e-01  0.0000000e+00
 1.1347998e+01  5.1877104e-02  3.3557447e-02  1.9673257e-01  1.5168895e+01  1.4190868e+01  5.4548267e-01  1.1716436e-01  4.4437643e+01  2.0103239e+01  4.7151222e-01  2.9825334e-01  2.8639156e+02  6.1514112e+01  1.3542023e+01  9.4812120e+00  9.6691788e+00  9.9999998e-01  3.4931483e+00  1.4922877e+01  5.1877104e-01  3.1393803e-01  0.0000000e+00
 1.3017597e+01  7.4796803e-02  4.5363317e-02  2.7678897e-01  7.1664283e+01  7.6907619e+01  7.5270314e-01  2.9759734e-01  3.9512783e+01  1.5942708e+01  7.7004383e-01  2.4931645e-01  4.6221530e+02  1.8274674e+02  1.4541448e+01  9.2520017e+00  1.1218475e+01  9.9999995e-01  3.8048212e+00  2.6545584e+01  7.4796803e-01  4.8682336e-01  0.0000000e+00
 1.5279636e+01  1.0405995e-01  4.9869481e-02  3.7289994e-01  1.9734351e+02  2.4858311e+02  9.6902014e-01  4.2927689e-01  3.4116648e+01  1.1622089e+01  1.0430219e+00  1.8810638e-01  7.3092028e+02  3.2379842e+02  1.5973772e+01  8.9593625e+00  1.3224645e+01  9.9999987e-01  4.2545248e+00  4.0205647e+01  1.0405995e+00  6.2817929e-01  0.0000000e+00
 1.7541674e+01  1.2691317e-01  4.7361946e-02  4.4322221e-01  2.9940130e+02  4.3297267e+02  1.0823988e+00  4.6438436e-01  2.9960845e+01  8.6417593e+00  1.1696718e+00  1.3823146e-01  9.9737218e+02  4.2790516e+02  1.7482427e+01  8.7308647e+00  1.5146196e+01  9.9999973e-01  4.7488621e+00  5.0326434e+01  1.2691317e+00  6.8491446e-01  0.0000000e+00
 1.9803712e+01  1.3729977e-01  4.0903522e-02  4.7379246e-01  3.8395390e+02  6.2684685e+02  1.0773107e+00  4.3504969e-01  2.6914765e+01  6.8185148e+00  1.1575489e+00  9.9734817e-02  1.2036479e+03  4.8606835e+02  1.9058265e+01  8.6270002e+00  1.6993891e+01  9.9999944e-01  5.2819763e+00  5.5395998e+01  1.3729977e+00  6.6779487e-01  0.0000000e+00
