#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0110583e-02  8.3053456e-05  1.9293842e-01 -2.4564464e-01 -4.3364894e-02  3.4300439e-01 -6.9627548e-02  7.8508893e+01  4.4816936e+01  1.0000000e-04  3.5000000e-01  1.4553275e+02 -2.9542154e+01  1.2407127e+01  1.2158434e+01  2.4716962e+00  1.0000000e+00  3.0811381e+00  2.7916036e-03  8.4154816e-01  2.0526586e-04 -1.0000000e+00
 4.6695996e+00  4.0240530e-02  4.1290504e-05  1.5246345e-01 -2.6679390e+00 -7.3310345e-01  3.3633944e-01 -9.6828677e-02  7.3923062e+01  4.0652415e+01  1.0000000e-04  3.5000000e-01  1.7900542e+02 -5.1533825e+01  1.3892123e+01  1.3348812e+01  3.8471165e+00  1.0000000e+00  3.4517640e+00  3.1274017e-03  5.6336742e-01  1.5884282e-04 -8.7800269e-02
 6.3391991e+00  3.1676223e-02  4.5274008e-03  1.2119597e-01 -4.4419819e+00 -1.6569939e+00  3.3459086e-01 -1.0947356e-01  6.8726935e+01  3.5963336e+01  1.9379742e-02  3.5151093e-01  1.9317164e+02 -6.3203120e+01  1.4459420e+01  1.3474182e+01  5.2460684e+00  1.0000000e+00  3.5974912e+00  6.3167010e-01  4.4346713e-01  2.3644008e-02 -8.2328509e-02
 8.0087987e+00  2.9305157e-02  1.5328580e-02  1.1261269e-01 -3.7301383e+00 -1.7579319e+00  3.5833398e-01 -6.6384424e-02  6.3642223e+01  3.1498092e+01  9.9608276e-02  3.5055431e-01  2.2676471e+02 -4.2010096e+01  1.5088749e+01  1.3520111e+01  6.6990272e+00  1.0000000e+00  3.7788145e+00  3.4103078e+00  4.1027220e-01  1.0113630e-01 -6.9593672e-02
 9.6783983e+00  3.1305206e-02  2.7534018e-02  1.2032810e-01  2.6456507e+00  1.5067657e+00  4.1640402e-01  3.5062973e-02  5.8762047e+01  2.7339036e+01  2.4592399e-01  3.3785072e-01  2.9281365e+02  2.4656143e+01  1.5798301e+01  1.3507878e+01  8.1928961e+00  9.9999997e-01  4.0103968e+00  8.9357460e+00  4.3827288e-01  2.1953858e-01 -5.3822425e-02
 1.1347998e+01  3.7824480e-02  4.0881331e-02  1.4474442e-01  1.9869069e+01  1.3268032e+01  5.2431967e-01  2.0049738e-01  5.4079181e+01  2.3425576e+01  4.6996936e-01  3.0698389e-01  4.1299221e+02  1.5792628e+02  1.6586960e+01  1.3432593e+01  9.7310164e+00  9.9999980e-01  4.2785859e+00  1.8218490e+01  5.2954272e-01  3.8219240e-01 -3.7832601e-02
 1.3017597e+01  4.6776892e-02  4.9366461e-02  1.7770840e-01  6.3496508e+01  4.8639647e+01  6.5859877e-01  3.5934708e-01  4.9809889e+01  1.9920615e+01  6.9951871e-01  2.7121252e-01  5.8164712e+02  3.1736044e+02  1.7438804e+01  1.3321632e+01  1.1253711e+01  9.9999921e-01  4.5629246e+00  2.8919129e+01  6.5487648e-01  5.2942031e-01 -2.3446118e-02
 1.5279636e+01  6.7757396e-02  6.2536302e-02  2.5232086e-01  2.0477204e+02  1.8411679e+02  9.3955878e-01  6.3828645e-01  4.4280056e+01  1.5466297e+01  1.1182937e+00  1.9899599e-01  9.6936410e+02  6.5853460e+02  1.8681871e+01  1.3043049e+01  1.3375020e+01  9.9999727e-01  4.9758117e+00  5.0415306e+01  9.4860355e-01  7.8719615e-01 -8.2987243e-03
 1.7541674e+01  8.3629428e-02  6.2202657e-02  3.0657563e-01  3.2348038e+02  3.3390945e+02  1.1205663e+00  7.5094128e-01  3.9889826e+01  1.2251540e+01  1.3413757e+00  1.4245267e-01  1.3521642e+03  9.0614532e+02  2.0006111e+01  1.2830187e+01  1.5350270e+01  9.9999300e-01  5.4343866e+00  6.6045549e+01  1.1708120e+00  8.9891315e-01  1.0275128e-03
 1.9803712e+01  9.5835179e-02  5.7441059e-02  3.4684951e-01  4.3929188e+02  5.1192873e+02  1.2259294e+00  7.7372120e-01  3.6278725e+01  9.8632748e+00  1.4461021e+00  1.0166559e-01  1.7270641e+03  1.0900025e+03  2.1400584e+01  1.2663023e+01  1.7252039e+01  9.9998524e-01  5.9311474e+00  7.7710601e+01  1.3416925e+00  9.3714503e-01  4.7312501e-03
