#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9755827e-02  1.0661241e-04  2.0364774e-01 -2.0681904e-01 -3.0039110e-02  3.4549166e-01 -5.5995725e-02  8.0777443e+01  4.3255486e+01  1.0000000e-04  3.5000000e-01  2.2649749e+02 -3.6709688e+01  1.5422458e+01  1.5223096e+01  2.4717544e+00  1.0000000e+00  3.8299539e+00  3.4700531e-03  1.0158491e+00  2.6349160e-04 -7.6103356e-01
 4.6695996e+00  3.9776725e-02  5.0544669e-05  1.5347802e-01 -2.1875890e+00 -4.9456192e-01  3.4073962e-01 -7.9978235e-02  7.6774310e+01  3.9673662e+01  1.0000000e-04  3.5000000e-01  2.6569805e+02 -6.2364514e+01  1.6815404e+01  1.6369399e+01  3.8471521e+00  1.0000000e+00  4.1781090e+00  3.7854921e-03  6.7620432e-01  1.9444320e-04  4.5627709e-02
 6.3391991e+00  3.0905628e-02  5.5042246e-03  1.2026852e-01 -3.4734533e+00 -1.0660342e+00  3.4082348e-01 -8.7954712e-02  7.2361387e+01  3.5767787e+01  1.9454007e-02  3.5145159e-01  2.8264995e+02 -7.2942143e+01  1.7329895e+01  1.6515159e+01  5.2511697e+00  1.0000000e+00  4.3116630e+00  7.5997000e-01  5.2539568e-01  2.8745397e-02  4.0581033e-02
 8.0087987e+00  2.7794982e-02  1.8170544e-02  1.0840753e-01 -2.1612117e+00 -8.3799223e-01  3.6258260e-01 -4.0466810e-02  6.7919910e+01  3.1945780e+01  9.8796676e-02  3.5120211e-01  3.2187658e+02 -3.5923727e+01  1.7871076e+01  1.6560399e+01  6.7177781e+00  1.0000000e+00  4.4756183e+00  4.0062491e+00  4.7251470e-01  1.1988727e-01  3.2941742e-02
 9.6783983e+00  2.8366901e-02  3.1729726e-02  1.1047824e-01  4.4523289e+00  2.0862484e+00  4.1216357e-01  6.3673982e-02  6.3561028e+01  2.8308017e+01  2.4052776e-01  3.4070454e-01  3.9640834e+02  6.1240001e+01  1.8476035e+01  1.6543610e+01  8.2263498e+00  9.9999994e-01  4.6901392e+00  1.0221003e+01  4.8223732e-01  2.5299246e-01  2.5877798e-02
 1.1347998e+01  3.2179315e-02  4.5350463e-02  1.2474888e-01  2.0181104e+01  1.1087649e+01  4.9967923e-01  2.2539796e-01  5.9321203e+01  2.4837599e+01  4.4880020e-01  3.1474110e-01  5.2482974e+02  2.3674298e+02  1.9153913e+01  1.6473153e+01  9.7727990e+00  9.9999953e-01  4.9407282e+00  2.0090307e+01  5.4704836e-01  4.2397352e-01  2.0239712e-02
 1.3017597e+01  3.8374069e-02  5.5523868e-02  1.4773341e-01  6.3218036e+01  3.9842551e+01  6.2013458e-01  4.0561416e-01  5.5325510e+01  2.1606235e+01  6.8637893e-01  2.7923774e-01  7.1297140e+02  4.6633635e+02  1.9897131e+01  1.6363349e+01  1.1319745e+01  9.9999792e-01  5.2061544e+00  3.2376028e+01  6.5235917e-01  5.9545414e-01  1.5751428e-02
 1.5279636e+01  5.2504543e-02  6.9124028e-02  1.9906401e-01  1.9379824e+02  1.4336334e+02  8.6511936e-01  7.0570115e-01  5.0140656e+01  1.7496897e+01  1.0961698e+00  2.1179557e-01  1.1276343e+03  9.1984169e+02  2.0998342e+01  1.6118750e+01  1.3457945e+01  9.9999164e-01  5.5927909e+00  5.5545515e+01  8.9257723e-01  8.7012130e-01  1.1372517e-02
 1.7541674e+01  6.6516373e-02  7.2479781e-02  2.4837216e-01  3.2399842e+02  2.7516248e+02  1.0882583e+00  9.0249257e-01  4.5691625e+01  1.4223339e+01  1.4059853e+00  1.4833848e-01  1.6152379e+03  1.3395167e+03  2.2188042e+01  1.5877555e+01  1.5498789e+01  9.9997710e-01  6.0270783e+00  7.6776834e+01  1.1307783e+00  1.0474316e+00  8.3740944e-03
 1.9803712e+01  7.6173084e-02  6.7616516e-02  2.8141274e-01  4.4410393e+02  4.2580084e+02  1.2207115e+00  9.6089163e-01  4.2050945e+01  1.1805495e+01  1.5500355e+00  1.0411207e-01  2.0661075e+03  1.6263510e+03  2.3457086e+01  1.5711348e+01  1.7418049e+01  9.9994880e-01  6.5011044e+00  9.1300123e+01  1.2949424e+00  1.1031566e+00  6.3274178e-03
