#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9624406e-02  1.2272276e-04  2.2142779e-01 -2.0340565e-01 -2.7902042e-02  3.4629849e-01 -5.0767744e-02  8.1643415e+01  4.2931458e+01  1.0000000e-04  3.5000000e-01  2.7609790e+02 -4.0476259e+01  1.7007753e+01  1.6827178e+01  2.4717942e+00  1.0000000e+00  4.2236399e+00  3.8267445e-03  1.0732393e+00  3.0330818e-04 -9.9560634e-02
 4.6695996e+00  3.9684030e-02  5.2469326e-05  1.5048502e-01 -2.0432148e+00 -4.3625999e-01  3.4156634e-01 -7.6370468e-02  7.7380219e+01  3.9089572e+01  1.0000000e-04  3.5000000e-01  2.9206708e+02 -6.5302981e+01  1.7608737e+01  1.7183335e+01  3.8471595e+00  1.0000000e+00  4.3752279e+00  3.9640877e-03  7.1431255e-01  2.0184728e-04 -1.0232693e-01
 6.3391991e+00  3.0745269e-02  5.7578663e-03  1.1781910e-01 -3.2010475e+00 -9.2785098e-01  3.4194696e-01 -8.3014755e-02  7.3160789e+01  3.5377189e+01  1.9602347e-02  3.5133306e-01  3.1042722e+02 -7.5362681e+01  1.8131626e+01  1.7354169e+01  5.2524944e+00  1.0000000e+00  4.5111330e+00  8.0119138e-01  5.5341484e-01  3.0070022e-02 -9.2388730e-02
 8.0087987e+00  2.7465814e-02  1.8943795e-02  1.0580585e-01 -1.7575614e+00 -6.4362010e-01  3.6308467e-01 -3.3764698e-02  6.8907239e+01  3.1743108e+01  9.9164093e-02  3.5090884e-01  3.5219792e+02 -3.2752295e+01  1.8680949e+01  1.7429307e+01  6.7228799e+00  1.0000000e+00  4.6784422e+00  4.2033764e+00  4.9438466e-01  1.2498910e-01 -7.6279084e-02
 9.6783983e+00  2.7739007e-02  3.2986168e-02  1.0705084e-01  4.9080829e+00  2.1720364e+00  4.1077919e-01  7.2195839e-02  6.4723409e+01  2.8280398e+01  2.4068156e-01  3.4062320e-01  4.3062900e+02  7.5684511e+01  1.9289440e+01  1.7442612e+01  8.2363679e+00  9.9999993e-01  4.8966219e+00  1.0677805e+01  4.9930213e-01  2.6301053e-01 -5.8053929e-02
 1.1347998e+01  3.0976157e-02  4.6696182e-02  1.1938353e-01  2.0214435e+01  1.0488964e+01  4.9344946e-01  2.3297551e-01  6.0650346e+01  2.4976742e+01  4.4493025e-01  3.1592251e-01  5.6308426e+02  2.6585265e+02  1.9964539e+01  1.7401987e+01  9.7853798e+00  9.9999943e-01  5.1498283e+00  2.0759996e+01  5.5757083e-01  4.3655442e-01 -4.0402310e-02
 1.3017597e+01  3.6450397e-02  5.7243008e-02  1.3993409e-01  6.2687183e+01  3.7313097e+01  6.0843104e-01  4.1661171e-01  5.6788311e+01  2.1879037e+01  6.8181758e-01  2.8085304e-01  7.5711888e+02  5.1842291e+02  2.0700161e+01  1.7318844e+01  1.1338181e+01  9.9999742e-01  5.4162702e+00  3.3458856e+01  6.5610715e-01  6.1389070e-01 -2.5007754e-02
 1.5279636e+01  4.8373456e-02  6.9902510e-02  1.8372538e-01  1.8633668e+02  1.3018563e+02  8.3187712e-01  7.0692948e-01  5.1808865e+01  1.7975106e+01  1.0699517e+00  2.1673079e-01  1.1667878e+03  9.9153666e+02  2.1782375e+01  1.7119913e+01  1.3467755e+01  9.9998914e-01  5.8016135e+00  5.6241324e+01  8.7072221e-01  8.7992071e-01 -9.2739115e-03
 1.7541674e+01  6.2298280e-02  7.5642938e-02  2.3342869e-01  3.2279303e+02  2.5890885e+02  1.0721441e+00  9.4252902e-01  4.7356291e+01  1.4698005e+01  1.4196164e+00  1.5014400e-01  1.7019037e+03  1.4961548e+03  2.2946035e+01  1.6878656e+01  1.5544500e+01  9.9996976e-01  6.2329766e+00  8.0169484e+01  1.1213690e+00  1.0931435e+00  5.9017201e-05
 1.9803712e+01  7.1034251e-02  7.0601098e-02  2.6378200e-01  4.4247469e+02  4.0066992e+02  1.2069722e+00  1.0098597e+00  4.3756945e+01  1.2321494e+01  1.5701917e+00  1.0534107e-01  2.1712082e+03  1.8166249e+03  2.4182780e+01  1.6724825e+01  1.7466742e+01  9.9993107e-01  6.7022298e+00  9.5348651e+01  1.2786165e+00  1.1518497e+00  3.4737807e-03
 2.2065750e+01  7.6752752e-02  6.2828984e-02  2.8323223e-01  5.4922948e+02  5.5414606e+02  1.2754273e+00  9.9367235e-01  4.0705270e+01  1.0487423e+01  1.6149102e+00  7.8515543e-02  2.5975929e+03  2.0237580e+03  2.5486367e+01  1.6621397e+01  1.9320561e+01  9.9986444e-01  7.1999381e+00  1.0534640e+02  1.3815495e+00  1.1421325e+00  2.9674492e-03
 2.4327788e+01  7.9390940e-02  5.4520922e-02  2.9208170e-01  6.4589895e+02  7.1848700e+02  1.2839130e+00  9.3843519e-01  3.8102729e+01  9.0446575e+00  1.5894017e+00  5.3808560e-02  2.9533620e+03  2.1586656e+03  2.6857950e+01  1.6573325e+01  2.1134672e+01  9.9975885e-01  7.7166635e+00  1.1112348e+02  1.4290369e+00  1.0927066e+00  2.3768257e-03
