#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9693429e-02  1.1006611e-04  1.9857740e-01 -1.9276040e-01 -2.6441787e-02  3.4587434e-01 -5.3581238e-02  8.1177634e+01  4.2465678e+01  1.0000000e-04  3.5000000e-01  2.4760578e+02 -3.8357932e+01  1.6116173e+01  1.5925496e+01  2.4717630e+00  1.0000000e+00  4.0022283e+00  3.6261389e-03  1.0744817e+00  2.7202740e-04 -1.0000000e+00
 4.6695996e+00  3.9666822e-02  5.3454541e-05  1.5331332e-01 -2.0618386e+00 -4.4023646e-01  3.4172022e-01 -7.5678942e-02  7.7496193e+01  3.9205545e+01  1.0000000e-04  3.5000000e-01  2.9755637e+02 -6.5898212e+01  1.7769439e+01  1.7347977e+01  3.8471633e+00  1.0000000e+00  4.4151574e+00  4.0002651e-03  7.1400280e-01  2.0563736e-04  6.2005711e-02
 6.3391991e+00  3.0723891e-02  5.8317681e-03  1.1961420e-01 -3.2210787e+00 -9.3365720e-01  3.4214869e-01 -8.2329141e-02  7.3285024e+01  3.5501425e+01  1.9555165e-02  3.5137076e-01  3.1515693e+02 -7.5834279e+01  1.8263845e+01  1.7492149e+01  5.2528803e+00  1.0000000e+00  4.5440290e+00  8.0509133e-01  5.5303003e-01  3.0455968e-02  4.5207211e-02
 8.0087987e+00  2.7434685e-02  1.9127874e-02  1.0702823e-01 -1.7515018e+00 -6.4140107e-01  3.6323625e-01 -3.3277875e-02  6.9025202e+01  3.1861071e+01  9.8950241e-02  3.5107954e-01  3.5626686e+02 -3.2639374e+01  1.8784629e+01  1.7539921e+01  6.7240945e+00  1.0000000e+00  4.7044077e+00  4.2175902e+00  4.9382432e-01  1.2620363e-01  3.3774830e-02
 9.6783983e+00  2.7687098e-02  3.3198525e-02  1.0788472e-01  4.9536573e+00  2.1922050e+00  4.1067983e-01  7.2285523e-02  6.4825847e+01  2.8382836e+01  2.4011109e-01  3.4092490e-01  4.3398341e+02  7.6387286e+01  1.9366764e+01  1.7527290e+01  8.2380610e+00  9.9999993e-01  4.9162507e+00  1.0695198e+01  4.9836777e-01  2.6470372e-01  2.5689641e-02
 1.1347998e+01  3.0897378e-02  4.6859753e-02  1.1991660e-01  2.0275352e+01  1.0520572e+01  4.9295700e-01  2.3240665e-01  6.0733032e+01  2.5059428e+01  4.4373686e-01  3.1641279e-01  5.6559852e+02  2.6665380e+02  2.0019054e+01  1.7463647e+01  9.7869073e+00  9.9999942e-01  5.1638903e+00  2.0760848e+01  5.5615281e-01  4.3808361e-01  1.9835819e-02
 1.3017597e+01  3.6369392e-02  5.7414252e-02  1.4028923e-01  6.2881471e+01  3.7428743e+01  6.0785036e-01  4.1644718e-01  5.6847615e+01  2.1938341e+01  6.8107122e-01  2.8116242e-01  7.5904038e+02  5.2002968e+02  2.0736310e+01  1.7360834e+01  1.1340017e+01  9.9999740e-01  5.4257286e+00  3.3480595e+01  6.5464906e-01  6.1572717e-01  1.5524459e-02
 1.5279636e+01  4.8238597e-02  6.9896013e-02  1.8368521e-01  1.8625431e+02  1.3012808e+02  8.3031584e-01  7.0544500e-01  5.1846543e+01  1.8012784e+01  1.0676771e+00  2.1712368e-01  1.1665327e+03  9.9109834e+02  2.1800461e+01  1.7142988e+01  1.3467667e+01  9.9998908e-01  5.8064307e+00  5.6168360e+01  8.6829475e-01  8.7983892e-01  1.1361800e-02
 1.7541674e+01  6.2282081e-02  7.5728812e-02  2.3360530e-01  3.2318152e+02  2.5922045e+02  1.0722767e+00  9.4306655e-01  4.7368767e+01  1.4710481e+01  1.4200690e+00  1.5018660e-01  1.7031914e+03  1.4979555e+03  2.2953294e+01  1.6887381e+01  1.5545741e+01  9.9996970e-01  6.2349485e+00  8.0220412e+01  1.1210774e+00  1.0943845e+00  8.4929662e-03
 1.9803712e+01  7.1028530e-02  7.0631394e-02  2.6385698e-01  4.4267435e+02  4.0085073e+02  1.2070654e+00  1.0101064e+00  4.3761443e+01  1.2325992e+01  1.5704213e+00  1.0535071e-01  2.1718253e+03  1.8174446e+03  2.4185282e+01  1.6727927e+01  1.7467236e+01  9.9993102e-01  6.7029233e+00  9.5372465e+01  1.2785135e+00  1.1523440e+00  6.4728567e-03
 2.2065750e+01  7.6751663e-02  6.2850219e-02  2.8329853e-01  5.4942288e+02  5.5434119e+02  1.2755612e+00  9.9389395e-01  4.0708238e+01  1.0490391e+01  1.6151521e+00  7.8518531e-02  2.5982009e+03  2.0244706e+03  2.5488012e+01  1.6623470e+01  1.9320947e+01  9.9986437e-01  7.2004028e+00  1.0536899e+02  1.3815299e+00  1.1425185e+00  5.0214416e-03
 2.4327788e+01  7.9392395e-02  5.4536676e-02  2.9214232e-01  6.4609012e+02  7.1869965e+02  1.2840639e+00  9.3862848e-01  3.8104925e+01  9.0468534e+00  1.5896377e+00  5.3810523e-02  2.9539750e+03  2.1593045e+03  2.6859158e+01  1.6574881e+01  2.1134988e+01  9.9975876e-01  7.7170108e+00  1.1114498e+02  1.4290631e+00  1.0930224e+00  3.9587757e-03
 2.6589826e+01  8.0065995e-02  4.6836188e-02  2.9433239e-01  7.3416928e+02  8.9261344e+02  1.2578036e+00  8.6806788e-01  3.5838225e+01  7.8295071e+00  1.5279205e+00  3.2722775e-02  3.2528443e+03  2.2449369e+03  2.8286943e+01  1.6561967e+01  2.2931472e+01  9.9960262e-01  8.2373167e+00  1.1403262e+02  1.4411879e+00  1.0259703e+00  3.1669605e-03
 2.8851864e+01  7.8751874e-02  3.9697175e-02  2.8982999e-01  8.0428484e+02  1.0610491e+03  1.2033126e+00  7.8471324e-01  3.3866195e+01  6.7438141e+00  1.4364457e+00  1.8972598e-02  3.4755770e+03  2.2665193e+03  2.9761983e+01  1.6585023e+01  2.4712601e+01  9.9937996e-01  8.7439549e+00  1.1379933e+02  1.4175337e+00  9.4356377e-01  2.5672974e-03
