#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  9.7564759e-02  1.0418267e+00  3.1599201e-01  2.4382236e+00  2.8695465e-01  5.5958584e-01  6.8842555e-01  7.4298472e+01  3.2226515e+01  8.1417517e-01  3.5239869e-01  5.3629117e+02  6.5976749e+02  1.8646944e+01  1.7951124e+01  5.0463502e+00  1.0000000e+00  4.6307102e+00  3.4159227e+01  2.0488599e+00  2.5748651e+00 -1.0000000e+00
 4.6695996e+00  6.6126931e-02  4.9665994e-01  2.4487902e-01  1.8065242e+01  3.3093440e+00  5.6601054e-01  6.8696213e-01  7.3571394e+01  3.1920747e+01  8.1899476e-01  3.4861507e-01  6.4689608e+02  7.8513222e+02  2.0357734e+01  1.9526587e+01  5.7575820e+00  1.0000000e+00  5.0582688e+00  3.7534065e+01  1.3886656e+00  1.9106298e+00 -8.4722068e-02
 6.3391991e+00  5.2145175e-02  2.8716344e-01  1.9611444e-01  2.6368470e+01  6.5574924e+00  5.8119509e-01  6.9759579e-01  7.1269807e+01  3.0126207e+01  8.4728072e-01  3.2640924e-01  7.0331077e+02  8.4416857e+02  2.0933840e+01  1.9825209e+01  6.7221093e+00  1.0000000e+00  5.2083213e+00  3.9982291e+01  1.0950487e+00  1.4996894e+00 -7.9711443e-02
 8.0087987e+00  4.5544869e-02  1.9655506e-01  1.7275473e-01  3.6531389e+01  1.1477625e+01  6.1017849e-01  7.2166179e-01  6.8438538e+01  2.7914408e+01  8.9540274e-01  3.0227052e-01  7.8270955e+02  9.2571533e+02  2.1482330e+01  1.9979080e+01  7.8947364e+00  1.0000000e+00  5.3800177e+00  4.3646025e+01  9.5644225e-01  1.2968489e+00 -6.4441280e-02
 9.6783983e+00  4.2346347e-02  1.4792984e-01  1.6145406e-01  4.8638746e+01  1.8467340e+01  6.4513070e-01  7.4430250e-01  6.5478749e+01  2.5675738e+01  9.4492098e-01  2.7803629e-01  8.8400711e+02  1.0198998e+03  2.2053433e+01  2.0064377e+01  9.1528522e+00  9.9999992e-01  5.5982614e+00  4.7928213e+01  8.8927329e-01  1.1794976e+00 -4.6308992e-02
 1.1347998e+01  4.1099513e-02  1.1853783e-01  1.5717252e-01  6.2968500e+01  2.8032451e+01  6.8612470e-01  7.6574934e-01  6.2523342e+01  2.3489738e+01  9.9594111e-01  2.5542211e-01  1.0090186e+03  1.1261150e+03  2.2664283e+01  2.0107727e+01  1.0457010e+01  9.9999927e-01  5.8462241e+00  5.2753551e+01  8.6308977e-01  1.1081894e+00 -2.9140810e-02
 1.3017597e+01  3.9998271e-02  9.4720942e-02  1.5335114e-01  1.0442777e+02  5.3329229e+01  7.1530662e-01  7.4382807e-01  5.9767352e+01  2.1498078e+01  1.0028243e+00  2.4348975e-01  1.1293307e+03  1.1743606e+03  2.3316417e+01  2.0145106e+01  1.1740104e+01  9.9999618e-01  6.1008228e+00  5.5431397e+01  8.3996369e-01  1.0158150e+00 -1.4879947e-02
 1.5279636e+01  4.0619401e-02  7.6561128e-02  1.5583616e-01  1.8035747e+02  1.0810993e+02  7.7302065e-01  7.4891264e-01  5.6071795e+01  1.8878036e+01  1.0528653e+00  2.2339600e-01  1.3470525e+03  1.3050423e+03  2.4279268e+01  2.0145422e+01  1.3551562e+01  9.9998061e-01  6.4666472e+00  6.1687127e+01  8.5300743e-01  9.6373824e-01 -1.5198191e-03
 1.7541674e+01  5.1777470e-02  8.4052538e-02  1.9645709e-01  3.1582591e+02  2.1733880e+02  1.0070451e+00  1.0282224e+00  5.1813460e+01  1.5795174e+01  1.4307642e+00  1.5586806e-01  1.9495843e+03  1.9905825e+03  2.5340390e+01  1.9917601e+01  1.5666031e+01  9.9994274e-01  6.8833705e+00  8.9230186e+01  1.0873269e+00  1.2146737e+00  4.9811325e-03
 1.9803712e+01  5.9370539e-02  7.9774185e-02  2.2346768e-01  4.4010333e+02  3.4191624e+02  1.1614781e+00  1.1398769e+00  4.8280695e+01  1.3485245e+01  1.6237627e+00  1.0837614e-01  2.5035981e+03  2.4570360e+03  2.6471644e+01  1.9758805e+01  1.7616399e+01  9.9986522e-01  7.3365857e+00  1.0793422e+02  1.2467813e+00  1.3015077e+00  5.6263013e-03
