#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9335652e-02  1.5143107e-04  2.0537126e-01 -1.4667338e-01 -1.5104247e-02  3.4775278e-01 -3.9598166e-02  8.3487413e+01  3.8295456e+01  1.0000000e-04  3.5000000e-01  4.5524807e+02 -5.1838517e+01  2.1793624e+01  2.1652989e+01  2.4718652e+00  1.0000000e+00  5.4121445e+00  4.9035653e-03  1.4240557e+00  3.7426052e-04 -9.2292582e-01
 4.6695996e+00  3.9270586e-02  6.6135666e-05  1.4259107e-01 -1.4851522e+00 -2.3805489e-01  3.4497208e-01 -5.9112406e-02  8.0260192e+01  3.5489545e+01  1.0000000e-04  3.5000000e-01  4.9199326e+02 -8.4305100e+01  2.2741130e+01  2.2413343e+01  3.8472121e+00  1.0000000e+00  5.6504691e+00  5.1194945e-03  9.4249405e-01  2.5442111e-04 -6.4412854e-01
 6.3391991e+00  3.0039593e-02  7.5755997e-03  1.1009786e-01 -2.1129694e+00 -4.5978428e-01  3.4606881e-01 -5.9290259e-02  7.6908092e+01  3.2644493e+01  2.0640158e-02  3.5050383e-01  5.1570394e+02 -8.8353009e+01  2.3230322e+01  2.2626519e+01  5.2619873e+00  1.0000000e+00  5.7796841e+00  1.0808357e+00  7.2095023e-01  3.9562997e-02 -6.5249444e-01
 8.0087987e+00  2.6030658e-02  2.4284175e-02  9.5783088e-02 -3.2631968e-02 -8.9709238e-03  3.6298191e-01 -6.9163983e-04  7.3433618e+01  2.9789487e+01  1.0283266e-01  3.4811175e-01  5.6681770e+02 -1.0800365e+00  2.3702203e+01  2.2718326e+01  6.7581151e+00  9.9999999e-01  5.9359610e+00  5.5305038e+00  6.2473579e-01  1.6022434e-01 -6.5690027e-01
 9.6783983e+00  2.5165124e-02  4.1464066e-02  9.2663354e-02  7.0596602e+00  2.3453832e+00  4.0143596e-01  1.1712792e-01  6.9936487e+01  2.7013476e+01  2.4773703e-01  3.3689189e-01  6.6267211e+02  1.9334941e+02  2.4205463e+01  2.2736504e+01  8.3039648e+00  9.9999987e-01  6.1445539e+00  1.3791892e+01  6.0396297e-01  3.3060784e-01 -6.5949243e-01
 1.1347998e+01  2.6702799e-02  5.8359170e-02  9.8146367e-02  2.2449367e+01  8.7447997e+00  4.6885691e-01  2.9874941e-01  6.6446797e+01  2.4293193e+01  4.6121585e-01  3.1041577e-01  8.2296367e+02  5.2438153e+02  2.4760768e+01  2.2697934e+01  9.8944138e+00  9.9999887e-01  6.3870096e+00  2.6689742e+01  6.4086717e-01  5.4558965e-01 -6.6115445e-01
 1.3017597e+01  2.9615462e-02  6.8261691e-02  1.0849548e-01  6.1435681e+01  2.7452256e+01  5.5868024e-01  4.8308513e-01  6.3146156e+01  2.1756882e+01  6.8335494e-01  2.8021577e-01  1.0435895e+03  9.0238120e+02  2.5361828e+01  2.2626852e+01  1.1456347e+01  9.9999442e-01  6.6360118e+00  4.1086208e+01  7.1077109e-01  7.3205826e-01 -6.6232769e-01
 1.5279636e+01  3.6527379e-02  8.0612974e-02  1.3279290e-01  1.6998085e+02  8.9153732e+01  7.3558893e-01  7.8819651e-01  5.8799232e+01  1.8485473e+01  1.0552530e+00  2.2087525e-01  1.4992533e+03  1.6064764e+03  2.6257828e+01  2.2459826e+01  1.3602565e+01  9.9997353e-01  6.9936255e+00  6.6865417e+01  8.7665710e-01  1.0147422e+00 -6.6346153e-01
 1.7541674e+01  4.5665815e-02  8.7742172e-02  1.6433014e-01  2.9331020e+02  1.7661383e+02  9.5253001e-01  1.0798084e+00  5.4746792e+01  1.5608506e+01  1.4315732e+00  1.5458922e-01  2.1299796e+03  2.4145905e+03  2.7234232e+01  2.2239726e+01  1.5719351e+01  9.9991881e-01  7.3978067e+00  9.5953122e+01  1.0959796e+00  1.2679939e+00 -6.6423933e-01
 1.9803712e+01  5.1653906e-02  8.2657546e-02  1.8461671e-01  4.0491936e+02  2.7525909e+02  1.0975152e+00  1.1995408e+00  5.1360662e+01  1.3445211e+01  1.6222577e+00  1.0824777e-01  2.7014989e+03  2.9526318e+03  2.8287936e+01  2.2095479e+01  1.7663440e+01  9.9980378e-01  7.8399690e+00  1.1523297e+02  1.2396938e+00  1.3485494e+00 -6.6478336e-01
 2.2065750e+01  5.5118719e-02  7.3372849e-02  1.9619061e-01  5.0122948e+02  3.7964862e+02  1.1790773e+00  1.2091034e+00  4.8444951e+01  1.1747104e+01  1.6869231e+00  8.0279810e-02  3.1987780e+03  3.2802373e+03  2.9415156e+01  2.2011913e+01  1.9512230e+01  9.9959829e-01  8.3098271e+00  1.2700764e+02  1.3228493e+00  1.3338035e+00 -6.6519530e-01
 2.4327788e+01  5.7713837e-02  6.4774548e-02  2.0476214e-01  5.9816615e+02  4.9951782e+02  1.2316368e+00  1.1880911e+00  4.5806213e+01  1.0268142e+01  1.7104033e+00  5.4863351e-02  3.6807768e+03  3.5506393e+03  3.0613341e+01  2.1949343e+01  2.1340173e+01  9.9927707e-01  8.7956398e+00  1.3630398e+02  1.3851321e+00  1.2982095e+00 -6.6549688e-01
 2.6589826e+01  5.8107064e-02  5.5752441e-02  2.0596587e-01  6.7881569e+02  6.1957502e+02  1.2320865e+00  1.1224499e+00  4.3491116e+01  9.0023983e+00  1.6663728e+00  3.3657609e-02  4.0466715e+03  3.6865805e+03  3.1877860e+01  2.1939685e+01  2.3126785e+01  9.9880434e-01  9.2830119e+00  1.4015340e+02  1.3945695e+00  1.2212854e+00 -6.6572327e-01
 2.8851864e+01  5.6742983e-02  4.7046271e-02  2.0130424e-01  7.3826562e+02  7.3116106e+02  1.1941144e+00  1.0281537e+00  4.1440347e+01  7.8379658e+00  1.5756353e+00  1.9562100e-02  4.2915483e+03  3.6950993e+03  3.3198746e+01  2.1972256e+01  2.4887281e+01  9.9814521e-01  9.7536624e+00  1.3924063e+02  1.3618316e+00  1.1182447e+00 -6.6589354e-01
 3.1113903e+01  5.3681170e-02  3.8814689e-02  1.9092588e-01  7.6895173e+02  8.2125891e+02  1.1229521e+00  9.1303349e-01  3.9622259e+01  6.6906760e+00  1.4472341e+00  1.2854469e-02  4.3894133e+03  3.5688800e+03  3.4569237e+01  2.2045607e+01  2.6627493e+01  9.9725851e-01  1.0187715e+01  1.3358513e+02  1.2883481e+00  9.9492047e-01 -6.6602757e-01
