#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  9.0493909e-02  1.5000000e+00  3.2921395e-01  3.1086416e+00  2.9549921e-01  5.2017964e-01  7.8313855e-01  7.5356650e+01  2.8194693e+01  8.8920295e-01  3.0530469e-01  8.5646750e+02  1.2894252e+03  2.4441028e+01  2.3647139e+01  6.1787274e+00  1.0000000e+00  6.0695907e+00  4.8899327e+01  2.3528416e+00  3.7072364e+00  0.0000000e+00
 4.6695996e+00  6.0415894e-02  6.6575070e-01  2.2705849e-01  2.0430831e+01  3.0229440e+00  5.2270993e-01  7.7379357e-01  7.5301765e+01  2.8561117e+01  8.8109784e-01  3.0927134e-01  9.1945143e+02  1.3611098e+03  2.5255644e+01  2.4429168e+01  6.4080679e+00  1.0000000e+00  6.2752484e+00  5.0095375e+01  1.5708133e+00  2.5611148e+00  0.0000000e+00
 6.3391991e+00  4.7252096e-02  3.7877604e-01  1.8007163e-01  2.9360670e+01  5.8974568e+00  5.3868419e-01  7.8408195e-01  7.3791924e+01  2.7558324e+01  9.0327912e-01  2.9841582e-01  9.8989946e+02  1.4408485e+03  2.5796730e+01  2.4771422e+01  7.2005500e+00  1.0000000e+00  6.4182042e+00  5.2526453e+01  1.2285545e+00  1.9781293e+00  0.0000000e+00
 8.0087987e+00  4.0496955e-02  2.5226753e-01  1.5542148e-01  3.9544904e+01  1.0035114e+01  5.6230091e-01  8.0018215e-01  7.1675424e+01  2.6061293e+01  9.3639270e-01  2.8221003e-01  1.0794184e+03  1.5360661e+03  2.6279677e+01  2.4947053e+01  8.2623218e+00  1.0000000e+00  6.5814616e+00  5.5837112e+01  1.0529208e+00  1.6644337e+00  0.0000000e+00
 9.6783983e+00  3.7008647e-02  1.8686477e-01  1.4254901e-01  5.1803580e+01  1.5886480e+01  5.9270969e-01  8.2490882e-01  6.9295356e+01  2.4402345e+01  9.8118530e-01  2.6278269e-01  1.1964075e+03  1.6651104e+03  2.6766447e+01  2.5037746e+01  9.4632954e+00  9.9999988e-01  6.7946594e+00  6.0403388e+01  9.6222481e-01  1.4899397e+00  0.0000000e+00
 1.1347998e+01  3.4988000e-02  1.4385245e-01  1.3504851e-01  6.4030758e+01  2.3023551e+01  6.2403247e-01  8.2421950e-01  6.6915923e+01  2.2792319e+01  1.0028962e+00  2.5090531e-01  1.3289861e+03  1.7553194e+03  2.7274109e+01  2.5090284e+01  1.0693673e+01  9.9999882e-01  7.0353228e+00  6.3926747e+01  9.0968800e-01  1.3448513e+00  0.0000000e+00
 1.3017597e+01  3.3577082e-02  1.1405060e-01  1.2978949e-01  1.0559890e+02  4.3556669e+01  6.5174374e-01  8.0974463e-01  6.4569783e+01  2.1210509e+01  1.0111539e+00  2.4088197e-01  1.4651489e+03  1.8203420e+03  2.7822735e+01  2.5126961e+01  1.1947402e+01  9.9999357e-01  7.2799167e+00  6.6693919e+01  8.7300414e-01  1.2231119e+00  0.0000000e+00
 1.5279636e+01  3.3131017e-02  9.0007501e-02  1.2812049e-01  1.7777009e+02  8.6066890e+01  7.0015900e-01  8.1322544e-01  6.1373938e+01  1.9090180e+01  1.0492609e+00  2.2496604e-01  1.6976298e+03  1.9717746e+03  2.8639276e+01  2.5138558e+01  1.3720824e+01  9.9996576e-01  7.6279107e+00  7.2515641e+01  8.6140645e-01  1.1329989e+00  0.0000000e+00
 1.7541674e+01  4.0585180e-02  9.7475992e-02  1.5572598e-01  3.0381843e+02  1.6886886e+02  8.9923783e-01  1.1142578e+00  5.7551554e+01  1.6443268e+01  1.4227714e+00  1.6099945e-01  2.3688825e+03  2.9353145e+03  2.9559781e+01  2.4944747e+01  1.5860021e+01  9.9989153e-01  8.0295104e+00  1.0350629e+02  1.0552147e+00  1.4086609e+00  0.0000000e+00
 1.9803712e+01  4.6174711e-02  9.3416673e-02  1.7611614e-01  4.2680588e+02  2.6781902e+02  1.0535902e+00  1.2723598e+00  5.4271395e+01  1.4385945e+01  1.6481320e+00  1.1230611e-01  3.0245249e+03  3.6525432e+03  3.0548989e+01  2.4799427e+01  1.7838977e+01  9.9973361e-01  8.4666172e+00  1.2642836e+02  1.2005425e+00  1.5240835e+00  0.0000000e+00
 2.2065750e+01  4.9365128e-02  8.3541405e-02  1.8760253e-01  5.3229484e+02  3.7216486e+02  1.1461891e+00  1.3053669e+00  5.1447923e+01  1.2780076e+01  1.7351863e+00  8.2829833e-02  3.5897879e+03  4.0883223e+03  3.1605053e+01  2.4716479e+01  1.9697081e+01  9.9944805e-01  8.9284762e+00  1.4036732e+02  1.2834933e+00  1.5186519e+00  0.0000000e+00
 2.4327788e+01  5.2335773e-02  7.4891514e-02  1.9818329e-01  6.4456740e+02  4.9686154e+02  1.2239929e+00  1.3145439e+00  4.8835685e+01  1.1327614e+01  1.7952790e+00  5.6192417e-02  4.1810086e+03  4.4903198e+03  3.2729050e+01  2.4639247e+01  2.1542938e+01  9.9900165e-01  9.4035124e+00  1.5295534e+02  1.3607301e+00  1.5009734e+00  0.0000000e+00
 2.6589826e+01  5.3402202e-02  6.5396317e-02  2.0186322e-01  7.4087855e+02  6.2420457e+02  1.2518725e+00  1.2700449e+00  4.6521352e+01  1.0062634e+01  1.7829775e+00  3.4499462e-02  4.6546187e+03  4.7221859e+03  3.3917419e+01  2.4611525e+01  2.3338040e+01  9.9834772e-01  9.8769428e+00  1.5955520e+02  1.3884573e+00  1.4325393e+00  0.0000000e+00
