#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.1909701e-02  5.7060831e-05  2.3144888e-01 -4.7833060e-01 -1.4771736e-01  3.3241868e-01 -1.0953460e-01  7.1746167e+01  5.1744210e+01  1.0000000e-04  3.5000000e-01  5.7006059e+01 -1.8783950e+01  7.8878473e+00  7.4909164e+00  2.4706894e+00  1.0000000e+00  1.9588376e+00  1.7747656e-03  4.9527761e-01  1.4097155e-04 -1.3799638e-02
 4.6695996e+00  4.3146769e-02  2.5616250e-05  1.6497307e-01 -5.0364921e+00 -2.4209729e+00  3.1276590e-01 -1.5709073e-01  6.3314945e+01  4.3734298e+01  1.0000000e-04  3.5000000e-01  6.3246628e+01 -3.1766440e+01  8.5631474e+00  7.6510742e+00  3.8455892e+00  1.0000000e+00  2.1276779e+00  1.9277400e-03  3.4517416e-01  9.8507051e-05 -3.7441323e-03
 6.3391991e+00  3.6073078e-02  2.8921231e-03  1.3909454e-01 -9.3872974e+00 -6.1257195e+00  3.0173761e-01 -1.8178853e-01  5.5827430e+01  3.6753831e+01  1.9079532e-02  3.5175080e-01  7.2391766e+01 -4.3614029e+01  9.3210770e+00  7.7117891e+00  5.2355310e+00  1.0000000e+00  2.3190759e+00  4.0089003e-01  2.8858462e-01  1.5098135e-02  3.8194342e-04
 8.0087987e+00  3.7610170e-02  1.0563288e-02  1.4485015e-01 -1.1930712e+01 -9.8359399e+00  3.3032868e-01 -1.5217183e-01  4.9124933e+01  3.0670802e+01  1.0110805e-01  3.4935722e-01  9.5242551e+01 -4.3875189e+01  1.0184785e+01  7.7011062e+00  6.6650439e+00  1.0000000e+00  2.5506695e+00  2.3365899e+00  3.0088136e-01  6.9668845e-02  1.9971736e-03
 9.6783983e+00  4.7891532e-02  2.0370582e-02  1.8249928e-01 -7.6884883e+00 -7.6599614e+00  4.1442976e-01 -6.6865039e-02  4.3133427e+01  2.5400416e+01  2.5672012e-01  3.3214115e-01  1.4501380e+02 -2.3396856e+01  1.1144264e+01  7.6193292e+00  8.1326772e+00  1.0000000e+00  2.8289700e+00  6.5800748e+00  3.8313225e-01  1.6236000e-01  2.4752293e-03
 1.1347998e+01  6.8841670e-02  3.0781746e-02  2.5656544e-01  9.3606978e+00  1.0934769e+01  5.6292067e-01  5.7212920e-02  3.7724314e+01  2.0760710e+01  4.8025641e-01  2.9917683e-01  2.3903532e+02  2.4294558e+01  1.2178713e+01  7.4517005e+00  9.6329227e+00  1.0000000e+00  3.1414839e+00  1.3669436e+01  5.5073336e-01  2.8766340e-01  2.4500000e-03
 1.3017597e+01  1.0340668e-01  4.0903261e-02  3.7105092e-01  6.2188870e+01  8.3334655e+01  7.7588864e-01  1.9857743e-01  3.2740775e+01  1.6541501e+01  7.6001862e-01  2.5260222e-01  3.9656011e+02  1.0149380e+02  1.3266373e+01  7.1749724e+00  1.1158692e+01  1.0000000e+00  3.4711931e+00  2.3902624e+01  8.2725346e-01  4.3849121e-01  2.2714426e-03
 1.5279636e+01  1.5520518e-01  4.6383903e-02  5.2475291e-01  1.9075221e+02  3.0003002e+02  1.0165333e+00  3.0932179e-01  2.7177752e+01  1.2053993e+01  1.0455853e+00  1.8913344e-01  6.5828284e+02  2.0030944e+02  1.4800771e+01  6.7602896e+00  1.3166674e+01  1.0000000e+00  3.9421024e+00  3.7344783e+01  1.2416415e+00  5.8364989e-01  1.9483452e-03
 1.7541674e+01  2.0381229e-01  4.5422373e-02  6.4942317e-01  2.9841114e+02  5.3885039e+02  1.1547034e+00  3.3698907e-01  2.2873549e+01  8.9252632e+00  1.1948905e+00  1.3834174e-01  9.3528397e+02  2.7295361e+02  1.6390917e+01  6.3711273e+00  1.5102017e+01  1.0000000e+00  4.4523686e+00  4.8201636e+01  1.6304983e+00  6.5616486e-01  1.6250396e-03
 1.9803712e+01  2.3229956e-01  4.0074613e-02  7.1366010e-01  3.8739062e+02  7.8972854e+02  1.1590498e+00  3.1352107e-01  1.9908064e+01  7.1826133e+00  1.1965429e+00  9.9885103e-02  1.1603331e+03  3.1386821e+02  1.8040328e+01  6.1429459e+00  1.6962242e+01  9.9999999e-01  4.9998562e+00  5.4203628e+01  1.8583965e+00  6.5356391e-01  1.3393554e-03
 2.2065750e+01  2.5590875e-01  3.4961355e-02  7.6196690e-01  4.6799771e+02  1.0630276e+03  1.1313306e+00  2.7890734e-01  1.7566696e+01  6.0588493e+00  1.1627511e+00  7.5552603e-02  1.3803826e+03  3.4030621e+02  1.9726736e+01  5.9538403e+00  1.8806804e+01  9.9999999e-01  5.5728332e+00  5.8709094e+01  2.0472700e+00  6.3530032e-01  1.1037560e-03
 2.4327788e+01  2.8292810e-01  3.1000826e-02  8.1178673e-01  5.6399200e+02  1.4124000e+03  1.1063871e+00  2.5382419e-01  1.5523796e+01  5.1757245e+00  1.1339586e+00  5.1547327e-02  1.6213966e+03  3.7197620e+02  2.1437463e+01  5.7374917e+00  2.0655411e+01  9.9999999e-01  6.1592820e+00  6.3280494e+01  2.2634248e+00  6.2108066e-01  9.0555431e-04
 2.6589826e+01  3.1228179e-01  2.7552209e-02  8.5414619e-01  6.6420738e+02  1.8180312e+03  1.0752389e+00  2.3112430e-01  1.3742009e+01  4.4432909e+00  1.0993641e+00  3.0915024e-02  1.8646288e+03  4.0080491e+02  2.3163517e+01  5.5025030e+00  2.2500466e+01  9.9999999e-01  6.7453463e+00  6.7187484e+01  2.4982543e+00  6.0331489e-01  7.5730264e-04
 2.8851864e+01  3.3498621e-01  2.4576915e-02  8.9156875e-01  7.6465632e+02  2.2710270e+03  1.0430408e+00  2.1002216e-01  1.2328984e+01  3.9166027e+00  1.0638307e+00  1.7536313e-02  2.1119002e+03  4.2524306e+02  2.4918604e+01  5.3207353e+00  2.4343923e+01  9.9999999e-01  7.3209888e+00  7.0564270e+01  2.6798897e+00  5.8394693e-01  6.2500000e-04
 3.1113903e+01  3.4981057e-01  2.1769451e-02  9.1463835e-01  8.4785994e+02  2.7155683e+03  1.0025528e+00  1.8761741e-01  1.1238229e+01  3.4966459e+00  1.0198937e+00  1.1366417e-02  2.3364074e+03  4.3723454e+02  2.6692414e+01  5.2020530e+00  2.6180596e+01  9.9999999e-01  7.8663781e+00  7.2689604e+01  2.7984845e+00  5.5779432e-01  5.3750000e-04
 3.3375941e+01  3.5736077e-01  1.9208077e-02  9.2599015e-01  9.1358444e+02  3.1388051e+03  9.6097352e-01  1.6633624e-01  1.0400220e+01  3.1695332e+00  9.7521297e-01  9.8742842e-03  2.5373744e+03  4.3919766e+02  2.8481501e+01  5.1415638e+00  2.8013572e+01  9.9999998e-01  8.3527907e+00  7.3802937e+01  2.8588862e+00  5.2794604e-01  4.5000000e-04
 3.5637979e+01  3.5833453e-01  1.6913373e-02  9.2743157e-01  9.7448823e+02  3.5749650e+03  9.2100954e-01  1.4891309e-01  9.7601272e+00  2.9709505e+00  9.3292325e-01  9.3752083e-03  2.7135612e+03  4.3874115e+02  3.0283147e+01  5.1337113e+00  2.9844833e+01  9.9999997e-01  8.7658859e+00  7.4094216e+01  2.8666762e+00  4.9638131e-01  3.8750000e-04
 3.7900017e+01  3.5480532e-01  1.4900305e-02  9.2216626e-01  1.0342240e+03  4.0349312e+03  8.8446174e-01  1.3496022e-01  9.2554054e+00  2.8534121e+00  8.9465353e-01  9.0498098e-03  2.8694146e+03  4.3784463e+02  3.2094161e+01  5.1618863e+00  3.1676334e+01  9.9999993e-01  9.1077177e+00  7.3825606e+01  2.8384426e+00  4.6505752e-01  3.2884412e-04
 4.0162055e+01  3.4915311e-01  1.3169251e-02  9.1361913e-01  1.0928168e+03  4.5179915e+03  8.5291925e-01  1.2361136e-01  8.8325464e+00  2.7784690e+00  8.6178493e-01  8.8178437e-03  3.0124912e+03  4.3659248e+02  3.3911812e+01  5.2070626e+00  3.3509662e+01  9.9999986e-01  9.3840047e+00  7.3270590e+01  2.7932249e+00  4.3556115e-01  2.8750000e-04
 4.2424093e+01  3.4298912e-01  1.1697240e-02  9.0412956e-01  1.1502866e+03  5.0234346e+03  8.2671732e-01  1.1421087e-01  8.4586160e+00  2.7282464e+00  8.3452444e-01  8.6374747e-03  3.1491106e+03  4.3504915e+02  3.5734296e+01  5.2563370e+00  3.5345592e+01  9.9999971e-01  9.6043280e+00  7.2618725e+01  2.7439130e+00  4.0866562e-01  2.5000000e-04
