#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.1909358e-02  5.7067346e-05  2.3147539e-01 -4.7835655e-01 -1.4772538e-01  3.3242065e-01 -1.0952865e-01  7.1747193e+01  5.1745236e+01  1.0000000e-04  3.5000000e-01  5.7012588e+01 -1.8784970e+01  7.8882757e+00  7.4913675e+00  2.4706895e+00  1.0000000e+00  1.9589440e+00  1.7748620e-03  4.9527486e-01  1.4098764e-04 -1.3351268e-02
 4.6695996e+00  4.3145776e-02  2.5621719e-05  1.6500846e-01 -5.0369714e+00 -2.4212033e+00  3.1277342e-01 -1.5707576e-01  6.3317688e+01  4.3737040e+01  1.0000000e-04  3.5000000e-01  6.3260196e+01 -3.1769463e+01  8.5639629e+00  7.6519870e+00  3.8455892e+00  1.0000000e+00  2.1278806e+00  1.9279236e-03  3.4516620e-01  9.8528083e-05 -2.8393492e-03
 6.3391991e+00  3.6071975e-02  2.8924261e-03  1.3911559e-01 -9.3878756e+00 -6.1260969e+00  3.0174540e-01 -1.8177692e-01  5.5829859e+01  3.6756259e+01  1.9078609e-02  3.5175154e-01  7.2402721e+01 -4.3616716e+01  9.3216618e+00  7.7124948e+00  5.2355326e+00  1.0000000e+00  2.3192214e+00  4.0089580e-01  2.8857580e-01  1.5099717e-02  1.0788878e-03
 8.0087987e+00  3.7608857e-02  1.0563927e-02  1.4486159e-01 -1.1931068e+01 -9.8362333e+00  3.3033283e-01 -1.5216626e-01  4.9126549e+01  3.0672418e+01  1.0110512e-01  3.4935956e-01  9.5250073e+01 -4.3876498e+01  1.0185123e+01  7.7015500e+00  6.6650481e+00  1.0000000e+00  2.5507543e+00  2.3365998e+00  3.0087086e-01  6.9673061e-02  2.4304340e-03
 9.6783983e+00  4.7889519e-02  2.0371242e-02  1.8250577e-01 -7.6886155e+00 -7.6600882e+00  4.1442877e-01 -6.6863609e-02  4.3134548e+01  2.5401536e+01  2.5671388e-01  3.3214445e-01  1.4501896e+02 -2.3397243e+01  1.1144475e+01  7.6196328e+00  8.1326825e+00  1.0000000e+00  2.8290237e+00  6.5800396e+00  3.8311615e-01  1.6236526e-01  2.7627293e-03
 1.1347998e+01  6.8838441e-02  3.0782573e-02  2.5656968e-01  9.3612605e+00  1.0935426e+01  5.6291522e-01  5.7214861e-02  3.7725224e+01  2.0761620e+01  4.8024854e-01  2.9917959e-01  2.3903927e+02  2.4296019e+01  1.2178872e+01  7.4519512e+00  9.6329305e+00  1.0000000e+00  3.1415251e+00  1.3669391e+01  5.5070753e-01  2.8767113e-01  2.6750000e-03
 1.3017597e+01  1.0340048e-01  4.0904324e-02  3.7105415e-01  6.2191064e+01  8.3337594e+01  7.7587714e-01  1.9857976e-01  3.2741733e+01  1.6542459e+01  7.6000597e-01  2.5260675e-01  3.9656357e+02  1.0149738e+02  1.3266529e+01  7.1752434e+00  1.1158704e+01  1.0000000e+00  3.4712340e+00  2.3902508e+01  8.2720384e-01  4.3850261e-01  2.4928852e-03
 1.5279636e+01  1.5520171e-01  4.6385995e-02  5.2476663e-01  1.9076516e+02  3.0005038e+02  1.0165455e+00  3.0933841e-01  2.7178318e+01  1.2054559e+01  1.0456018e+00  1.8913455e-01  6.5830005e+02  2.0032304e+02  1.4800875e+01  6.7604674e+00  1.3166700e+01  1.0000000e+00  3.9421303e+00  3.7345639e+01  1.2416137e+00  5.8367622e-01  2.0983452e-03
 1.7541674e+01  2.0381143e-01  4.5424557e-02  6.4944406e-01  2.9843048e+02  5.3888530e+02  1.1547299e+00  3.3700780e-01  2.2873891e+01  8.9256049e+00  1.1949213e+00  1.3834191e-01  9.3531405e+02  2.7297130e+02  1.6390993e+01  6.3712467e+00  1.5102048e+01  1.0000000e+00  4.4523891e+00  4.8203103e+01  1.6304914e+00  6.5619642e-01  1.7375396e-03
 1.9803712e+01  2.3229892e-01  4.0076196e-02  7.1367904e-01  3.8741027e+02  7.8976860e+02  1.1590734e+00  3.1353503e-01  1.9908313e+01  7.1828621e+00  1.1965694e+00  9.9885207e-02  1.1603639e+03  3.1388414e+02  1.8040384e+01  6.1430386e+00  1.6962267e+01  9.9999999e-01  4.9998717e+00  5.4204996e+01  1.8583913e+00  6.5358972e-01  1.4268554e-03
 2.2065750e+01  2.5590810e-01  3.4962367e-02  7.6198163e-01  4.6801477e+02  1.0630664e+03  1.1313481e+00  2.7891643e-01  1.7566868e+01  6.0590206e+00  1.1627703e+00  7.5552699e-02  1.3804093e+03  3.4031861e+02  1.9726773e+01  5.9539080e+00  1.8806822e+01  9.9999999e-01  5.5728440e+00  5.8710178e+01  2.0472648e+00  6.3531872e-01  1.1662560e-03
 2.4327788e+01  2.8292759e-01  3.1001493e-02  8.1179841e-01  5.6400668e+02  1.4124367e+03  1.1064004e+00  2.5383019e-01  1.5523911e+01  5.1758400e+00  1.1339728e+00  5.1547385e-02  1.6214199e+03  3.7198588e+02  2.1437489e+01  5.7375403e+00  2.0655424e+01  9.9999999e-01  6.1592895e+00  6.3281366e+01  2.2634207e+00  6.2109403e-01  9.5000000e-04
 2.6589826e+01  3.1228336e-01  2.7552498e-02  8.5415072e-01  6.6421345e+02  1.8180478e+03  1.0752436e+00  2.3112621e-01  1.3742047e+01  4.4433296e+00  1.0993691e+00  3.0915041e-02  1.8646387e+03  4.0080857e+02  2.3163527e+01  5.5025207e+00  2.2500473e+01  9.9999999e-01  6.7453493e+00  6.7187821e+01  2.4982668e+00  6.0332123e-01  7.8750000e-04
 2.8851864e+01  3.3498823e-01  2.4577239e-02  8.9157447e-01  7.6466458e+02  2.2710516e+03  1.0430464e+00  2.1002422e-01  1.2329028e+01  3.9166469e+00  1.0638367e+00  1.7536331e-02  2.1119138e+03  4.2524766e+02  2.4918616e+01  5.3207567e+00  2.4343931e+01  9.9999999e-01  7.3209924e+00  7.0564701e+01  2.6799058e+00  5.8395461e-01  6.6250000e-04
 3.1113903e+01  3.4981185e-01  2.1769631e-02  9.1464196e-01  8.4786554e+02  2.7155863e+03  1.0025562e+00  1.8761855e-01  1.1238255e+01  3.4966717e+00  1.0198973e+00  1.1366426e-02  2.3364166e+03  4.3723743e+02  2.6692421e+01  5.2020662e+00  2.6180600e+01  9.9999999e-01  7.8663801e+00  7.2689879e+01  2.7984948e+00  5.5779893e-01  5.6094922e-04
 3.3375941e+01  3.5736213e-01  1.9208247e-02  9.2599399e-01  9.1359088e+02  3.1388272e+03  9.6097702e-01  1.6633733e-01  1.0400246e+01  3.1695595e+00  9.7521661e-01  9.8742925e-03  2.5373850e+03  4.3920075e+02  2.8481508e+01  5.1415780e+00  2.8013577e+01  9.9999998e-01  8.3527928e+00  7.3803231e+01  2.8588970e+00  5.2795070e-01  4.7500000e-04
 3.5637979e+01  3.5833520e-01  1.6913448e-02  9.2743347e-01  9.7449168e+02  3.5749777e+03  9.2101122e-01  1.4891358e-01  9.7601399e+00  2.9709632e+00  9.3292499e-01  9.3752121e-03  2.7135668e+03  4.3874270e+02  3.0283151e+01  5.1337184e+00  2.9844835e+01  9.9999997e-01  8.7658869e+00  7.4094363e+01  2.8666816e+00  4.9638350e-01  4.0000000e-04
 3.7900017e+01  3.5480597e-01  1.4900370e-02  9.2216813e-01  1.0342276e+03  4.0349456e+03  8.8446337e-01  1.3496067e-01  9.2554177e+00  2.8534243e+00  8.9465520e-01  9.0498135e-03  2.8694205e+03  4.3784619e+02  3.2094164e+01  5.1618935e+00  3.1676336e+01  9.9999993e-01  9.1077187e+00  7.3825751e+01  2.8384478e+00  4.6505957e-01  3.4134412e-04
 4.0162055e+01  3.4915340e-01  1.3169277e-02  9.1361996e-01  1.0928185e+03  4.5179988e+03  8.5291997e-01  1.2361155e-01  8.8325518e+00  2.7784744e+00  8.6178566e-01  8.8178453e-03  3.0124940e+03  4.3659319e+02  3.3911813e+01  5.2070660e+00  3.3509663e+01  9.9999986e-01  9.3840051e+00  7.3270655e+01  2.7932272e+00  4.3556201e-01  2.9314242e-04
 4.2424093e+01  3.4298912e-01  1.1697240e-02  9.0412956e-01  1.1502866e+03  5.0234346e+03  8.2671732e-01  1.1421087e-01  8.4586160e+00  2.7282464e+00  8.3452444e-01  8.6374747e-03  3.1491106e+03  4.3504915e+02  3.5734296e+01  5.2563370e+00  3.5345592e+01  9.9999971e-01  9.6043280e+00  7.2618725e+01  2.7439130e+00  4.0866562e-01  2.5000000e-04
 4.4686131e+01  3.3753630e-01  1.0456641e-02  8.9558537e-01  1.2069194e+03  5.5517915e+03  8.0572387e-01  1.0627035e-01  8.1117631e+00  2.6959525e+00  8.1265759e-01  8.4841626e-03  3.2856737e+03  4.3336151e+02  3.7560355e+01  5.2999346e+00  3.7184553e+01  9.9999942e-01  9.7820492e+00  7.2024461e+01  2.7002904e+00  3.8480179e-01  2.2500000e-04
 4.6948169e+01  3.3391535e-01  9.4225520e-03  8.8983168e-01  1.2633219e+03  6.1054101e+03  7.8973659e-01  9.9414851e-02  7.7752989e+00  2.6799578e+00  7.9592563e-01  8.3413685e-03  3.4298190e+03  4.3175782e+02  3.9389008e+01  5.3288772e+00  3.9026876e+01  9.9999891e-01  9.9342533e+00  7.1639130e+01  2.6713228e+00  3.6430013e-01  2.0000000e-04
 4.9210208e+01  3.3336878e-01  8.5754991e-03  8.8895557e-01  1.3203713e+03  6.6885720e+03  7.7869979e-01  9.3341729e-02  7.4341281e+00  2.6801455e+00  7.8423139e-01  8.1959306e-03  3.5915336e+03  4.3051245e+02  4.1219406e+01  5.3332247e+00  4.0872926e+01  9.9999808e-01  1.0081600e+01  7.1633518e+01  2.6669503e+00  3.4752554e-01  1.7500000e-04
 5.1472246e+01  3.3492104e-01  7.8662510e-03  8.9143024e-01  1.3784709e+03  7.3038670e+03  7.7257963e-01  8.8126681e-02  7.0993626e+00  2.6931945e+00  7.7754812e-01  8.0324133e-03  3.7670828e+03  4.2970393e+02  4.3051726e+01  5.3207817e+00  4.2721662e+01  9.9999677e-01  1.0204522e+01  7.1889013e+01  2.6793683e+00  3.3343642e-01  1.5000000e-04
