#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.1899160e-02  5.7261516e-05  2.3226546e-01 -4.7912958e-01 -1.4796411e-01  3.3247892e-01 -1.0935164e-01  7.1777700e+01  5.1775743e+01  1.0000000e-04  3.5000000e-01  5.7207184e+01 -1.8815326e+01  7.9010340e+00  7.5048004e+00  2.4706899e+00  1.0000000e+00  1.9621123e+00  1.7777326e-03  4.9519328e-01  1.4146735e-04  0.0000000e+00
 4.6695996e+00  4.3142659e-02  2.5638886e-05  1.6511955e-01 -5.0384757e+00 -2.4219264e+00  3.1279700e-01 -1.5702880e-01  6.3326290e+01  4.3745642e+01  1.0000000e-04  3.5000000e-01  6.3302785e+01 -3.1778951e+01  8.5665223e+00  7.6548513e+00  3.8455893e+00  1.0000000e+00  2.1285165e+00  1.9284998e-03  3.4514127e-01  9.8594099e-05  0.0000000e+00
 6.3391991e+00  3.6073682e-02  2.8919571e-03  1.3908301e-01 -9.3869805e+00 -6.1255128e+00  3.0173333e-01 -1.8179490e-01  5.5826099e+01  3.6752500e+01  1.9080037e-02  3.5175040e-01  7.2385763e+01 -4.3612557e+01  9.3207565e+00  7.7114023e+00  5.2355302e+00  1.0000000e+00  2.3189962e+00  4.0088687e-01  2.8858946e-01  1.5097268e-02  0.0000000e+00
 8.0087987e+00  3.7616225e-02  1.0560342e-02  1.4479743e-01 -1.1929071e+01 -9.8345876e+00  3.3030959e-01 -1.5219751e-01  4.9117483e+01  3.0663353e+01  1.0112155e-01  3.4934644e-01  9.5207883e+01 -4.3869157e+01  1.0183226e+01  7.6990606e+00  6.6650245e+00  1.0000000e+00  2.5502790e+00  2.3365442e+00  3.0092980e-01  6.9649415e-02  0.0000000e+00
 9.6783983e+00  4.7908872e-02  2.0364901e-02  1.8244343e-01 -7.6873932e+00 -7.6588704e+00  4.1443829e-01 -6.6877358e-02  4.3123777e+01  2.5390766e+01  2.5677386e-01  3.3211273e-01  1.4496942e+02 -2.3393523e+01  1.1142444e+01  7.6167152e+00  8.1326320e+00  1.0000000e+00  2.8285080e+00  6.5803773e+00  3.8327098e-01  1.6231472e-01  0.0000000e+00
 1.1347998e+01  6.8872592e-02  3.0770416e-02  2.5650712e-01  9.3508123e+00  1.0923221e+01  5.6295282e-01  5.7168758e-02  3.7714599e+01  2.0750995e+01  4.8030555e-01  2.9915000e-01  2.3898099e+02  2.4268902e+01  1.2176981e+01  7.4490077e+00  9.6328160e+00  1.0000000e+00  3.1410372e+00  1.3668890e+01  5.5098073e-01  2.8755752e-01  0.0000000e+00
 1.3017597e+01  1.0347037e-01  4.0892349e-02  3.7101774e-01  6.2166364e+01  8.3304495e+01  7.7600672e-01  1.9855353e-01  3.2730943e+01  1.6531669e+01  7.6014835e-01  2.5255575e-01  3.9652465e+02  1.0145707e+02  1.3264770e+01  7.1721910e+00  1.1158575e+01  1.0000000e+00  3.4707738e+00  2.3903817e+01  8.2776298e-01  4.3837423e-01  0.0000000e+00
 1.5279636e+01  1.5525033e-01  4.6356724e-02  5.2457473e-01  1.9058405e+02  2.9976553e+02  1.0163748e+00  3.0910588e-01  2.7170402e+01  1.2046643e+01  1.0453699e+00  1.8911901e-01  6.5805931e+02  2.0013286e+02  1.4799412e+01  6.7579798e+00  1.3166332e+01  1.0000000e+00  3.9417404e+00  3.7333662e+01  1.2420026e+00  5.8330790e-01  0.0000000e+00
 1.7541674e+01  2.0382478e-01  4.5390820e-02  6.4912151e-01  2.9813193e+02  5.3834620e+02  1.1543206e+00  3.3671855e-01  2.2868613e+01  8.9203267e+00  1.1944445e+00  1.3833928e-01  9.3484952e+02  2.7269821e+02  1.6389827e+01  6.3694024e+00  1.5101561e+01  1.0000000e+00  4.4520724e+00  4.8180442e+01  1.6305982e+00  6.5570906e-01  0.0000000e+00
 1.9803712e+01  2.3230944e-01  4.0050390e-02  7.1337007e-01  3.8708988e+02  7.8911547e+02  1.1586885e+00  3.1330736e-01  1.9904255e+01  7.1788049e+00  1.1961370e+00  9.9883518e-02  1.1598616e+03  3.1362456e+02  1.8039473e+01  6.1415276e+00  1.6961847e+01  9.9999999e-01  4.9996194e+00  5.4182677e+01  1.8584755e+00  6.5316886e-01  0.0000000e+00
 2.2065750e+01  2.5592015e-01  3.4943479e-02  7.6170667e-01  4.6769651e+02  1.0623435e+03  1.1310211e+00  2.7874678e-01  1.7563672e+01  6.0558250e+00  1.1624115e+00  7.5550907e-02  1.3799112e+03  3.4008719e+02  1.9726065e+01  5.9526453e+00  1.8806479e+01  9.9999999e-01  5.5726439e+00  5.8689956e+01  2.0473612e+00  6.3497548e-01  0.0000000e+00
 2.4327788e+01  2.8293862e-01  3.0987226e-02  8.1154875e-01  5.6369299e+02  1.4116512e+03  1.1061172e+00  2.5370211e-01  1.5521442e+01  5.1733707e+00  1.1336679e+00  5.1546148e-02  1.6209213e+03  3.7177899e+02  2.1436935e+01  5.7365020e+00  2.0655138e+01  9.9999999e-01  6.1591305e+00  6.3262719e+01  2.2635089e+00  6.2080821e-01  0.0000000e+00
 2.6589826e+01  3.1224249e-01  2.7544949e-02  8.5403279e-01  6.6405520e+02  1.8176147e+03  1.0751203e+00  2.3107653e-01  1.3741038e+01  4.4423201e+00  1.0992380e+00  3.0914618e-02  1.8643812e+03  4.0071308e+02  2.3163257e+01  5.5020601e+00  2.2500307e+01  9.9999999e-01  6.7452707e+00  6.7179025e+01  2.4979399e+00  6.0315591e-01  0.0000000e+00
 2.8851864e+01  3.3495262e-01  2.4571526e-02  8.9147334e-01  7.6451866e+02  2.2706182e+03  1.0429460e+00  2.0998774e-01  1.2328247e+01  3.9158653e+00  1.0637310e+00  1.7536012e-02  2.1116742e+03  4.2516651e+02  2.4918403e+01  5.3203791e+00  2.4343795e+01  9.9999999e-01  7.3209297e+00  7.0557086e+01  2.6796209e+00  5.8381889e-01  0.0000000e+00
 3.1113903e+01  3.4978120e-01  2.1765320e-02  9.1455560e-01  8.4773154e+02  2.7151571e+03  1.0024743e+00  1.8759129e-01  1.1237636e+01  3.4960532e+00  1.0198118e+00  1.1366196e-02  2.3361960e+03  4.3716833e+02  2.6692251e+01  5.2017504e+00  2.6180490e+01  9.9999999e-01  7.8663301e+00  7.2683321e+01  2.7982496e+00  5.5768847e-01  0.0000000e+00
 3.3375941e+01  3.5733631e-01  1.9205021e-02  9.2592107e-01  9.1346858e+02  3.1384070e+03  9.6091050e-01  1.6631664e-01  1.0399747e+01  3.1690605e+00  9.7514754e-01  9.8741353e-03  2.5371852e+03  4.3914196e+02  2.8481373e+01  5.1413095e+00  2.8013488e+01  9.9999998e-01  8.3527530e+00  7.3797652e+01  2.8586905e+00  5.2786203e-01  0.0000000e+00
 3.5637979e+01  3.5831383e-01  1.6911060e-02  9.2737263e-01  9.7438117e+02  3.5745723e+03  9.2095736e-01  1.4889776e-01  9.7597353e+00  2.9705586e+00  9.3286929e-01  9.3750908e-03  2.7133887e+03  4.3869295e+02  3.0283043e+01  5.1334894e+00  2.9844765e+01  9.9999997e-01  8.7658557e+00  7.4089675e+01  2.8665106e+00  4.9631342e-01  0.0000000e+00
 3.7900017e+01  3.5478817e-01  1.4898582e-02  9.2211685e-01  1.0341269e+03  4.0345524e+03  8.8441898e-01  1.3494825e-01  9.2550833e+00  2.8530899e+00  8.9460945e-01  9.0497119e-03  2.8692609e+03  4.3780352e+02  3.2094077e+01  5.1616947e+00  3.1676280e+01  9.9999993e-01  9.1076939e+00  7.3821776e+01  2.8383053e+00  4.6500377e-01  0.0000000e+00
 4.0162055e+01  3.4913854e-01  1.3167928e-02  9.1357660e-01  1.0927264e+03  4.5176180e+03  8.5288304e-01  1.2360165e-01  8.8322724e+00  2.7781950e+00  8.6174770e-01  8.8177595e-03  3.0123510e+03  4.3655639e+02  3.3911742e+01  5.2068917e+00  3.3509619e+01  9.9999986e-01  9.3839855e+00  7.3267275e+01  2.7931083e+00  4.3551739e-01  0.0000000e+00
