#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.1903401e-02  5.7180603e-05  2.3193623e-01 -4.7880760e-01 -1.4786467e-01  3.3245468e-01 -1.0942530e-01  7.1765006e+01  5.1763049e+01  1.0000000e-04  3.5000000e-01  5.7126094e+01 -1.8802682e+01  7.8957199e+00  7.4992057e+00  2.4706897e+00  1.0000000e+00  1.9607927e+00  1.7765370e-03  4.9522721e-01  1.4126745e-04 -5.5607816e-03
 4.6695996e+00  4.3141742e-02  2.5643944e-05  1.6515228e-01 -5.0389189e+00 -2.4221394e+00  3.1280394e-01 -1.5701498e-01  6.3328822e+01  4.3748175e+01  1.0000000e-04  3.5000000e-01  6.3315332e+01 -3.1781746e+01  8.5672762e+00  7.6556949e+00  3.8455893e+00  1.0000000e+00  2.1287038e+00  1.9286695e-03  3.4513393e-01  9.8613548e-05  8.3630187e-04
 6.3391991e+00  3.6069787e-02  2.8930279e-03  1.3915740e-01 -9.3890239e+00 -6.1268462e+00  3.0176088e-01 -1.8175386e-01  5.5834680e+01  3.6761081e+01  1.9076778e-02  3.5175300e-01  7.2424477e+01 -4.3622051e+01  9.3228231e+00  7.7138963e+00  5.2355357e+00  1.0000000e+00  2.3195104e+00  4.0090726e-01  2.8855829e-01  1.5102858e-02  2.4628428e-03
 8.0087987e+00  3.7608290e-02  1.0564203e-02  1.4486654e-01 -1.1931221e+01 -9.8363602e+00  3.3033462e-01 -1.5216385e-01  4.9127247e+01  3.0673116e+01  1.0110385e-01  3.4936057e-01  9.5253326e+01 -4.3877064e+01  1.0185270e+01  7.7017419e+00  6.6650499e+00  1.0000000e+00  2.5507909e+00  2.3366041e+00  3.0086632e-01  6.9674884e-02  2.6178199e-03
 9.6783983e+00  4.7892491e-02  2.0370268e-02  1.8249619e-01 -7.6884276e+00 -7.6599010e+00  4.1443023e-01 -6.6865721e-02  4.3132893e+01  2.5399882e+01  2.5672309e-01  3.3213957e-01  1.4501134e+02 -2.3396671e+01  1.1144163e+01  7.6191845e+00  8.1326747e+00  1.0000000e+00  2.8289444e+00  6.5800915e+00  3.8313993e-01  1.6235750e-01  2.3382060e-03
 1.1347998e+01  6.8848575e-02  3.0779973e-02  2.5655636e-01  9.3594926e+00  1.0933361e+01  5.6293233e-01  5.7208763e-02  3.7722363e+01  2.0758759e+01  4.8027328e-01  2.9917090e-01  2.3902687e+02  2.4291430e+01  1.2178371e+01  7.4511636e+00  9.6329062e+00  1.0000000e+00  3.1413958e+00  1.3669533e+01  5.5078860e-01  2.8764684e-01  1.9679564e-03
 1.3017597e+01  1.0342495e-01  4.0900129e-02  3.7104139e-01  6.2182412e+01  8.3326000e+01  7.7592252e-01  1.9857057e-01  3.2737954e+01  1.6538680e+01  7.6005585e-01  2.5258888e-01  3.9654993e+02  1.0148326e+02  1.3265913e+01  7.1741742e+00  1.1158659e+01  1.0000000e+00  3.4710728e+00  2.3902967e+01  8.2739959e-01  4.3845764e-01  1.6194839e-03
 1.5279636e+01  1.5522177e-01  4.6373909e-02  5.2468740e-01  1.9069038e+02  2.9993276e+02  1.0164751e+00  3.0924240e-01  2.7175050e+01  1.2051291e+01  1.0455061e+00  1.8912813e-01  6.5820065e+02  2.0024451e+02  1.4800271e+01  6.7594404e+00  1.3166548e+01  1.0000000e+00  3.9419693e+00  3.7340694e+01  1.2417742e+00  5.8352413e-01  1.2319130e-03
 1.7541674e+01  2.0381755e-01  4.5409079e-02  6.4929608e-01  2.9829350e+02  5.3863796e+02  1.1545422e+00  3.3687510e-01  2.2871470e+01  8.9231836e+00  1.1947026e+00  1.3834070e-01  9.3510094e+02  2.7284601e+02  1.6390458e+01  6.3704006e+00  1.5101825e+01  1.0000000e+00  4.4522438e+00  4.8192707e+01  1.6305404e+00  6.5597282e-01  9.4044864e-04
 1.9803712e+01  2.3230409e-01  4.0063508e-02  7.1352714e-01  3.8725275e+02  7.8944748e+02  1.1588842e+00  3.1342310e-01  1.9906318e+01  7.1808675e+00  1.1963568e+00  9.9884377e-02  1.1601170e+03  3.1375651e+02  1.8039936e+01  6.1422958e+00  1.6962060e+01  9.9999999e-01  4.9997476e+00  5.4194024e+01  1.8584327e+00  6.5338280e-01  7.2538190e-04
