#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.2384138e-02  4.9306431e-05  1.9989602e-01 -4.4636834e-01 -1.3784683e-01  3.2972613e-01 -1.1739117e-01  7.0386564e+01  5.0384607e+01  1.0000000e-04  3.5000000e-01  4.9234563e+01 -1.7528798e+01  7.3603600e+00  6.9333028e+00  2.4706703e+00  1.0000000e+00  1.8278434e+00  1.6560810e-03  4.9907311e-01  1.2181393e-04 -5.6762023e-01
 4.6695996e+00  4.3152388e-02  2.5582313e-05  1.6475356e-01 -5.0335180e+00 -2.4195433e+00  3.1271921e-01 -1.5718367e-01  6.3297918e+01  4.3717271e+01  1.0000000e-04  3.5000000e-01  6.3162474e+01 -3.1747681e+01  8.5580875e+00  7.6454108e+00  3.8455891e+00  1.0000000e+00  2.1264207e+00  1.9266009e-03  3.4521910e-01  9.8376548e-05 -9.3655929e-03
 6.3391991e+00  3.6064542e-02  2.8943015e-03  1.3924601e-01 -9.3914576e+00 -6.1284343e+00  3.0179367e-01 -1.8170501e-01  5.5844895e+01  3.6771295e+01  1.9072899e-02  3.5175610e-01  7.2470598e+01 -4.3633358e+01  9.3252846e+00  7.7168665e+00  5.2355424e+00  1.0000000e+00  2.3201228e+00  4.0093157e-01  2.8851634e-01  1.5109507e-02  5.3877816e-03
 8.0087987e+00  3.7581482e-02  1.0576932e-02  1.4509459e-01 -1.1938313e+01 -9.8422062e+00  3.3041707e-01 -1.5205293e-01  4.9159413e+01  3.0705282e+01  1.0104554e-01  3.4940712e-01  9.5403272e+01 -4.3903141e+01  1.0192011e+01  7.7105828e+00  6.6651339e+00  1.0000000e+00  2.5524793e+00  2.3368022e+00  3.0065185e-01  6.9758833e-02  1.1240446e-02
 9.6783983e+00  4.7817867e-02  2.0394442e-02  1.8273428e-01 -7.6931012e+00 -7.6645572e+00  4.1439403e-01 -6.6813354e-02  4.3173954e+01  2.5440943e+01  2.5649443e-01  3.3226050e-01  1.4520053e+02 -2.3410893e+01  1.1151917e+01  7.6303164e+00  8.1328675e+00  1.0000000e+00  2.8309129e+00  6.5788050e+00  3.8254293e-01  1.6255018e-01  1.2867856e-02
 1.1347998e+01  6.8692707e-02  3.0819438e-02  2.5675907e-01  9.3863635e+00  1.0964750e+01  5.6267248e-01  5.7301252e-02  3.7765843e+01  2.0802239e+01  4.7989734e-01  2.9930302e-01  2.3921572e+02  2.4361171e+01  1.2185994e+01  7.4631400e+00  9.6332750e+00  1.0000000e+00  3.1433621e+00  1.3667382e+01  5.4954166e-01  2.8801564e-01  1.2693477e-02
 1.3017597e+01  1.0314207e-01  4.0948157e-02  3.7118801e-01  6.2281663e+01  8.3459000e+01  7.7540204e-01  1.9867560e-01  3.2781307e+01  1.6582033e+01  7.5948378e-01  2.5279380e-01  3.9670662e+02  1.0164524e+02  1.3272986e+01  7.1864450e+00  1.1159174e+01  1.0000000e+00  3.4729235e+00  2.3897711e+01  8.2513658e-01  4.3897250e-01  1.1611618e-02
 1.5279636e+01  1.5501923e-01  4.6495509e-02  5.2548461e-01  1.9144310e+02  3.0111671e+02  1.0171833e+00  3.1020806e-01  2.7207908e+01  1.2084149e+01  1.0464688e+00  1.8919266e-01  6.5920073e+02  2.0103495e+02  1.4806354e+01  6.7697711e+00  1.3168079e+01  1.0000000e+00  3.9435894e+00  3.7390438e+01  1.2401538e+00  5.8505423e-01  9.9357869e-03
 1.7541674e+01  2.0376193e-01  4.5549747e-02  6.5064026e-01  2.9953841e+02  5.4088593e+02  1.1562465e+00  3.3808050e-01  2.2893453e+01  8.9451672e+00  1.1966884e+00  1.3835165e-01  9.3703679e+02  2.7398471e+02  1.6395318e+01  6.3780852e+00  1.5103857e+01  1.0000000e+00  4.4535640e+00  4.8287127e+01  1.6300954e+00  6.5800489e-01  8.1802413e-03
 1.9803712e+01  2.3226016e-01  4.0171749e-02  7.1482239e-01  3.8859653e+02  7.9218690e+02  1.1604968e+00  3.1437766e-01  1.9923319e+01  7.1978688e+00  1.1981685e+00  9.9891453e-02  1.1622229e+03  3.1484526e+02  1.8043753e+01  6.1486292e+00  1.6963825e+01  9.9999999e-01  5.0008054e+00  5.4287574e+01  1.8580813e+00  6.5514807e-01  6.7085423e-03
 2.2065750e+01  2.5586371e-01  3.5032681e-02  7.6300443e-01  4.6919926e+02  1.0657569e+03  1.1325641e+00  2.7954764e-01  1.7578751e+01  6.0709037e+00  1.1641045e+00  7.5559362e-02  1.3822622e+03  3.4117992e+02  1.9729409e+01  5.9586042e+00  1.8808099e+01  9.9999999e-01  5.5735884e+00  5.8785393e+01  2.0469097e+00  6.3659642e-01  5.5097790e-03
