#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  1.3921342e-01  3.5460318e-01  4.7933109e-01  1.4623681e+00  4.5160642e-01  7.3068636e-01  3.5542253e-01  6.4081090e+01  4.4079133e+01  6.3905387e-01  5.0183452e-01  1.1805966e+02  5.7426914e+01  7.6564237e+00  6.8862914e+00  3.3466126e+00  1.0000000e+00  1.9013668e+00  1.1008951e+01  1.1137074e+00  8.7606435e-01  0.0000000e+00
 4.6695996e+00  1.0824268e-01  1.8175393e-01  3.8011755e-01  1.1916578e+01  5.7281363e+00  7.4682251e-01  3.8518300e-01  5.7299582e+01  3.7718935e+01  7.2760235e-01  4.2036250e-01  1.4572775e+02  7.5160897e+01  8.4117597e+00  7.0785533e+00  4.5444234e+00  1.0000000e+00  2.0900627e+00  1.3778311e+01  8.6594145e-01  6.9893305e-01 -5.5501743e-02
 6.3391991e+00  1.0054811e-01  1.2353239e-01  3.5885227e-01  2.1350185e+01  1.3932151e+01  7.8860602e-01  4.1884428e-01  5.0702854e+01  3.1629254e+01  8.2358933e-01  3.4500812e-01  1.8676469e+02  9.9194426e+01  9.2609080e+00  7.1667552e+00  5.8653250e+00  1.0000000e+00  2.3041059e+00  1.7193161e+01  8.0438485e-01  6.4489256e-01 -2.8853990e-02
 8.0087987e+00  1.0572790e-01  9.7323269e-02  3.7774788e-01  3.5528390e+01  2.9290382e+01  8.6335715e-01  4.5415549e-01  4.4652544e+01  2.6198413e+01  9.3335967e-01  2.8369439e-01  2.4837856e+02  1.3065564e+02  1.0173522e+01  7.1500093e+00  7.2372583e+00  1.0000000e+00  2.5478487e+00  2.1545930e+01  8.4582319e-01  6.4188346e-01 -4.1546680e-03
 9.6783983e+00  1.1487372e-01  7.9176857e-02  4.0769890e-01  5.1110285e+01  5.0920649e+01  9.2542831e-01  4.4430369e-01  3.9497201e+01  2.1764190e+01  9.9670714e-01  2.4576045e-01  3.2395725e+02  1.5553382e+02  1.1146657e+01  7.0897257e+00  8.6013812e+00  1.0000000e+00  2.8295776e+00  2.5552404e+01  9.1898975e-01  6.3106467e-01  8.7339611e-03
 1.1347998e+01  1.3124497e-01  6.8934407e-02  4.5773789e-01  7.1457550e+01  8.3473669e+01  1.0045893e+00  4.3687445e-01  3.4879370e+01  1.7915766e+01  1.0739495e+00  2.1608153e-01  4.2646244e+02  1.8545942e+02  1.2176993e+01  6.9634202e+00  9.9894917e+00  1.0000000e+00  3.1410404e+00  3.0563282e+01  1.0499598e+00  6.4420993e-01  1.3511129e-02
 1.3017597e+01  1.4749542e-01  6.0114418e-02  5.0512448e-01  1.2721755e+02  1.7047473e+02  1.0570151e+00  4.0651927e-01  3.1022754e+01  1.4823480e+01  1.1153337e+00  1.9639094e-01  5.3985103e+02  2.0762225e+02  1.3261534e+01  6.8347086e+00  1.1364640e+01  1.0000000e+00  3.4699270e+00  3.5064509e+01  1.1799634e+00  6.4443869e-01  1.4677249e-02
 1.5279636e+01  1.5493115e-01  4.6548448e-02  5.2583155e-01  1.9177090e+02  3.0163229e+02  1.0174908e+00  3.1062810e-01  2.7222190e+01  1.2098431e+01  1.0468873e+00  1.8922071e-01  6.5963595e+02  2.0137917e+02  1.4809002e+01  6.7742647e+00  1.3168746e+01  1.0000000e+00  3.9442947e+00  3.7412080e+01  1.2394492e+00  5.8572037e-01  1.3720957e-02
 1.7541674e+01  2.0373303e-01  4.5622829e-02  6.5133808e-01  3.0018526e+02  5.4205396e+02  1.1571302e+00  3.3870627e-01  2.2904856e+01  8.9565700e+00  1.1977185e+00  1.3835733e-01  9.3804177e+02  2.7457638e+02  1.6397843e+01  6.3820735e+00  1.5104912e+01  1.0000000e+00  4.4542497e+00  4.8336131e+01  1.6298642e+00  6.5906062e-01  1.1937468e-02
 1.9803712e+01  2.3223536e-01  4.0232822e-02  7.1555270e-01  3.8935482e+02  7.9373273e+02  1.1614052e+00  3.1491596e-01  1.9932899e+01  7.2074486e+00  1.1991893e+00  9.9895440e-02  1.1634103e+03  3.1545963e+02  1.8045906e+01  6.1521994e+00  1.6964821e+01  9.9999999e-01  5.0014021e+00  5.4340310e+01  1.8578829e+00  6.5614408e-01  1.0081133e-02
